ano,codigo,estacao,uf,regiao,latitude,longitude,altitude_m,temperaturas_validas,datetime_validos,cobertura_temp,cobertura_temp_pct,observacoes,temperatura_min_c,temperatura_max_c,primeiro_datetime,ultimo_datetime,coordenada_valida,dentro_dominio_era5,flag_temperatura_suspeita,possui_observacoes,elegivel_pareamento,motivo_elegibilidade,deslocamento_max_coord_km,coordenada_suspeita
2002,A405,CARAVELAS,BA,NE,-17.73333333,-39.26666666,2.88,240,288,0.8333333333333334,83.33333333333334,240.0,20.7,31.7,2002-12-22 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,1.0907058639320626,False
2002,A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,5617,8760,0.6412100456621005,64.12100456621005,5617.0,21.7,36.5,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0975457325471828,False
2002,A502,BARBACENA,MG,SE,-21.22888888,-43.76694443,1155.0,0,648,0.0,0.0,,,,,,True,True,False,False,False,sem_observacoes_validas,0.1061929278902358,False
2002,A505,ARAXA,MG,SE,-19.60555555,-46.94944444,1020.0,297,312,0.9519230769230769,95.1923076923077,297.0,18.6,30.8,2002-12-19 15:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0424338321828582,False
2002,A506,MONTES CLAROS,MG,SE,-16.71666666,-43.86666666,646.29,312,312,1.0,100.0,312.0,19.9,33.9,2002-12-19 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,4.16412602006024,False
2002,A507,UBERLANDIA,MG,SE,-18.91722221,-48.25555555,869.0,0,336,0.0,0.0,,,,,,True,True,False,False,False,sem_observacoes_validas,0.0308877693870199,False
2002,A508,ALMENARA,MG,SE,-16.16666666,-40.68777777,194.0,407,408,0.9975490196078431,99.75490196078431,407.0,20.6,36.9,2002-12-15 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.012050893115197,False
2002,A601,ECOLOGIA AGRICOLA,RJ,SE,-22.8,-43.68333333,33.0,7475,8760,0.853310502283105,85.3310502283105,7475.0,10.7,39.7,2002-01-01 00:00:00,2002-12-31 20:00:00,True,True,False,True,True,aprovada,4.697063047300639,False
2002,A602,MARAMBAIA,RJ,SE,-23.05,-43.6,9.7,1176,1296,0.9074074074074074,90.74074074074075,1176.0,15.5,40.9,2002-11-08 00:00:00,2002-12-31 17:00:00,True,True,False,True,True,aprovada,0.4557929581143368,False
2002,A603,XEREM,RJ,SE,-22.58972221,-43.28222221,33.0,1190,1728,0.6886574074074074,68.86574074074075,1190.0,13.5,39.6,2002-10-29 00:00:00,2002-12-31 22:00:00,True,True,False,True,True,aprovada,0.0,False
2002,A604,CAMBUCI,RJ,SE,-21.56666666,-41.95,35.0,493,1008,0.48908730158730157,48.90873015873016,493.0,19.7,35.4,2002-12-10 00:00:00,2002-12-31 22:00:00,True,True,False,True,True,aprovada,2.4716348499994925,False
2002,A705,BAURU,SP,SE,-22.35805555,-49.02888888,666.0,5736,8760,0.6547945205479452,65.47945205479452,5736.0,5.1,38.7,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0012838812990109,False
2002,A706,CAMPOS DO JORDAO,SP,SE,-22.75027777,-45.60388888,1642.0,5369,7056,0.7609126984126984,76.09126984126983,5369.0,-1.1,28.5,2002-03-30 00:00:00,2002-12-14 13:00:00,True,True,False,True,True,aprovada,0.0075133204713646,False
2002,A708,FRANCA,SP,SE,-20.57999999,-47.37999999,1026.0,444,480,0.925,92.5,444.0,17.4,30.9,2002-12-12 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.5585348837112163,False
2002,A801,PORTO ALEGRE,RS,S,-30.05,-51.16666666,46.97,7487,8760,0.8546803652968037,85.46803652968038,7487.0,3.8,37.9,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.8731341190293443,False
2002,A802,RIO GRANDE,RS,S,-32.03333333,-52.1,2.46,7908,8760,0.9027397260273973,90.27397260273973,7908.0,3.1,35.7,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,8.152257012951972,True
2002,A803,SANTA MARIA,RS,S,-29.70833333,-53.70361111,95.0,7927,8760,0.9049086757990867,90.49086757990867,7927.0,-0.7,38.0,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,2.472281743512315,False
2002,A804,SANTANA DO LIVRAMENTO,RS,S,-30.84249999,-55.61277777,196.0,7093,8760,0.8097031963470319,80.97031963470319,7093.0,-0.1,35.9,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,22.631809085923873,True
2002,A805,SANTO AUGUSTO,RS,S,-27.85416666,-53.7911111,490.0,7657,8760,0.8740867579908675,87.40867579908675,7657.0,0.4,35.8,2002-01-01 00:00:00,2002-12-31 23:00:00,True,True,False,True,True,aprovada,0.0308877693873735,False
2003,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,8208,8760,0.936986301369863,93.69863013698631,8208.0,11.7,33.2,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,0.0139884202775015,False
2003,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,7920,8760,0.9041095890410958,90.41095890410958,7920.0,7.3,38.5,2003-01-01 00:00:00,2003-12-31 22:00:00,True,True,False,True,True,aprovada,0.0295938501110867,False
2003,A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,5861,8760,0.6690639269406393,66.90639269406392,5861.0,7.3,36.7,2003-01-01 00:00:00,2003-10-03 19:00:00,True,True,False,True,True,aprovada,3.162982582999043,False
2003,A702,CAMPO GRANDE,MS,CO,-20.45,-54.6,530.0,6266,8760,0.715296803652968,71.5296803652968,6266.0,6.4,36.4,2003-01-01 00:00:00,2003-12-31 23:00:00,True,True,False,True,True,aprovada,12.778846895826575,True
2003,A703,PONTA PORA,MS,CO,-22.5525,-55.71638888,675.0,744,8760,0.08493150684931507,8.493150684931507,744.0,15.9,33.3,2003-01-01 00:00:00,2003-02-25 01:00:00,True,True,False,True,True,aprovada,0.009376544263082,False
