ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,alerta_distancia,observacoes_inmet,cobertura_temp
2003,A803,SANTA MARIA,RS,S,-29.70833333,-53.70361111,95.0,-29.75,-53.75,23104,6.444369486898702,False,8259.0,0.9428082191780822
2003,A804,SANTANA DO LIVRAMENTO,RS,S,-30.84249999,-55.61277777,196.0,-30.75,-55.5,23741,14.893948520583603,False,7125.0,0.8133561643835616
2003,A805,SANTO AUGUSTO,RS,S,-27.85416666,-53.7911111,490.0,-27.75,-53.75,21816,12.26836775593502,False,4306.0,0.4915525114155251
2003,A806,FLORIANOPOLIS,SC,S,-27.6025,-48.61999999,1.8,-27.5,-48.5,21676,16.427331471854878,False,6626.0,0.8025678294573644
2003,A807,CURITIBA,PR,S,-25.43333333,-49.26666666,923.5,-25.5,-49.25,20385,7.599485942168253,False,1933.0,0.2382889546351085
2003,A901,CUIABA,MT,CO,-15.55916666,-56.72944443,240.0,-15.5,-56.75,13915,6.937839647491648,False,8539.0,0.9747716894977168
2003,A902,TANGARA DA SERRA,MT,CO,-14.65,-57.41666666,321.5,-14.75,-57.5,13429,14.282084641013808,False,4920.0,0.5616438356164384
2003,A903,S.J. DO RIO CLARO,MT,CO,-13.45,-56.66666666,350.0,-13.5,-56.75,12627,10.588299988827904,False,7202.0,0.968010752688172
2003,A904,SORRISO,MT,CO,-12.55,-55.71666666,380.0,-12.5,-55.75,11987,6.633469370805061,False,8756.0,0.9995433789954338
2003,A905,CAMPO NOVO DOS PARECIS,MT,CO,-13.78333333,-57.83333333,570.0,-13.75,-57.75,12784,9.73341150518281,False,8755.0,0.9994292237442922
2003,A906,GUARANTA DO NORTE,MT,CO,-9.95,-54.88333333,320.0,-10.0,-55.0,10380,13.933907993353664,False,8516.0,0.9721461187214612
2003,A907,RONDONOPOLIS,MT,CO,-16.45,-54.56666666,284.0,-16.5,-54.5,14568,9.024622372107466,False,1044.0,0.9666666666666668
2004,A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,-15.75,-48.0,14111,9.067874754249852,False,7692.0,0.8756830601092896
2004,A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,-16.75,-49.25,14750,12.343314852630817,False,8082.0,0.9200819672131147
