grid_index,latitude_era5,longitude_era5,registros_estacao_ano,estacoes_unicas
16057,-18.75,-44.5,20,1
16063,-18.75,-43.0,19,1
16067,-18.75,-42.0,19,1
16071,-18.75,-41.0,19,1
16073,-18.75,-40.5,15,1
16076,-18.75,-39.75,20,1
16165,-19.0,-57.75,20,1
16170,-19.0,-56.5,19,1
16189,-19.0,-51.75,18,1
16193,-19.0,-50.75,7,1
16194,-19.0,-50.5,13,1
16198,-19.0,-49.5,20,1
16203,-19.0,-48.25,23,1
16208,-19.0,-47.0,20,1
16377,-19.25,-45.0,5,1
16397,-19.25,-40.0,20,1
16500,-19.5,-54.5,20,1
16502,-19.5,-54.0,3,1
16520,-19.5,-49.5,20,1
16530,-19.5,-47.0,24,1
16536,-19.5,-45.5,19,1
16541,-19.5,-44.25,10,1
16548,-19.5,-42.5,20,1
16554,-19.5,-41.0,19,1
16556,-19.5,-40.5,9,1
16674,-19.75,-51.25,20,1
16687,-19.75,-48.0,9,1
16710,-19.75,-42.25,19,1
16823,-20.0,-54.25,1,1
16847,-20.0,-48.25,20,1
16850,-20.0,-47.5,20,1
16856,-20.0,-46.0,10,1
16862,-20.0,-44.5,18,1
16864,-20.0,-44.0,51,4
16876,-20.0,-41.0,15,1
16878,-20.0,-40.5,19,1
16995,-20.25,-51.5,3,1
16999,-20.25,-50.5,19,1
17010,-20.25,-47.75,18,1
17022,-20.25,-44.75,9,1
17032,-20.25,-42.25,16,1
17036,-20.25,-41.25,2,1
17040,-20.25,-40.25,20,1
17136,-20.5,-56.5,20,1
17139,-20.5,-55.75,20,1
17143,-20.5,-54.75,7,1
17144,-20.5,-54.5,18,1
17147,-20.5,-53.75,4,1
17150,-20.5,-53.0,16,1
17162,-20.5,-50.0,16,1
17168,-20.5,-48.5,16,1
17172,-20.5,-47.5,24,1
17180,-20.5,-45.5,20,1
17187,-20.5,-43.75,20,1
17197,-20.5,-41.25,7,1
17200,-20.5,-40.5,9,1
17316,-20.75,-51.75,25,1
17336,-20.75,-46.75,20,1
17344,-20.75,-44.75,9,1
17352,-20.75,-42.75,21,1
17357,-20.75,-41.5,20,1
17360,-20.75,-40.75,19,1
17464,-21.0,-55.0,18,1
17484,-21.0,-50.0,19,1
17490,-21.0,-48.5,9,1
17496,-21.0,-47.0,11,1
17507,-21.0,-44.25,7,1
17514,-21.0,-42.5,20,1
17520,-21.0,-41.0,18,1
17619,-21.25,-56.5,4,1
17634,-21.25,-52.75,4,1
17637,-21.25,-52.0,2,1
17641,-21.25,-51.0,19,1
17650,-21.25,-48.75,19,1
17653,-21.25,-48.0,18,1
17665,-21.25,-45.0,13,1
17670,-21.25,-43.75,23,1
17781,-21.5,-56.25,15,1
17785,-21.5,-55.25,19,1
17789,-21.5,-54.25,4,1
17800,-21.5,-51.5,10,1
17816,-21.5,-47.5,7,1
17824,-21.5,-45.5,20,1
17833,-21.5,-43.25,14,1
17838,-21.5,-42.0,24,1
17935,-21.75,-58.0,20,1
17949,-21.75,-54.5,18,1
17957,-21.75,-52.5,12,1
17968,-21.75,-49.75,20,1
17972,-21.75,-48.75,19,1
17979,-21.75,-47.0,18,1
17983,-21.75,-46.0,9,1
17994,-21.75,-43.25,19,1
18002,-21.75,-41.25,20,1
18102,-22.0,-56.5,11,1
18109,-22.0,-54.75,4,1
18114,-22.0,-53.5,4,1
18122,-22.0,-51.5,23,1
18126,-22.0,-50.5,9,1
18136,-22.0,-48.0,20,1
18142,-22.0,-46.5,20,1
18155,-22.0,-43.25,10,1
18158,-22.0,-42.5,8,1
18160,-22.0,-42.0,8,1
18164,-22.0,-41.0,18,1
18269,-22.25,-55.0,20,1
18272,-22.25,-54.25,4,1
18274,-22.25,-53.75,25,2
18285,-22.25,-51.0,20,1
18289,-22.25,-50.0,9,1
18293,-22.25,-49.0,25,1
18295,-22.25,-48.5,11,1
18308,-22.25,-45.25,20,1
18310,-22.25,-44.75,5,1
18314,-22.25,-43.75,20,1
18315,-22.25,-43.5,4,1
18318,-22.25,-42.75,16,1
18427,-22.5,-55.75,24,1
18429,-22.5,-55.25,4,1
18441,-22.5,-52.25,11,1
18456,-22.5,-48.5,7,1
18463,-22.5,-46.75,17,1
18470,-22.5,-45.0,19,1
18472,-22.5,-44.5,20,1
18477,-22.5,-43.25,44,2
18478,-22.5,-43.0,20,1
18483,-22.5,-41.75,20,1
18592,-22.75,-54.75,4,1
18593,-22.75,-54.5,16,1
18599,-22.75,-53.0,7,1
18600,-22.75,-52.75,11,1
18602,-22.75,-52.25,7,1
18621,-22.75,-47.5,19,1
18627,-22.75,-46.0,22,1
18629,-22.75,-45.5,23,1
18631,-22.75,-45.0,8,1
18635,-22.75,-44.0,10,1
18636,-22.75,-43.75,26,1
18637,-22.75,-43.5,19,1
18639,-22.75,-43.0,8,1
18641,-22.75,-42.5,22,2
18749,-23.0,-55.75,4,1
18751,-23.0,-55.25,17,1
18772,-23.0,-50.0,15,1
18773,-23.0,-49.75,3,1
18776,-23.0,-49.0,20,1
18786,-23.0,-46.5,6,1
18790,-23.0,-45.5,20,1
18795,-23.0,-44.25,9,1
18798,-23.0,-43.5,33,2
18799,-23.0,-43.25,19,1
18804,-23.0,-42.0,20,1
18921,-23.25,-53.0,7,1
18942,-23.25,-47.75,13,1
18951,-23.25,-45.5,19,1
18954,-23.25,-44.75,20,1
19077,-23.5,-54.25,16,1
19079,-23.5,-53.75,17,1
19082,-23.5,-53.0,11,1
19086,-23.5,-52.0,20,1
19092,-23.5,-50.5,18,1
19094,-23.5,-50.0,20,1
19104,-23.5,-47.5,7,1
19107,-23.5,-46.75,15,1
19108,-23.5,-46.5,20,1
19237,-23.75,-54.5,4,1
19254,-23.75,-50.25,18,1
19262,-23.75,-48.25,17,1
19268,-23.75,-46.75,8,1
19270,-23.75,-46.25,9,1
19273,-23.75,-45.5,5,1
19396,-24.0,-55.0,18,1
19420,-24.0,-49.0,20,1
19424,-24.0,-48.0,3,1
19430,-24.0,-46.5,3,1
19565,-24.25,-53.0,7,1
19576,-24.25,-50.25,14,1
19722,-24.5,-54.0,20,1
19727,-24.5,-52.75,10,1
19730,-24.5,-52.0,18,1
19747,-24.5,-47.75,9,1
19899,-24.75,-50.0,19,1
19909,-24.75,-47.5,20,1
20057,-25.0,-50.75,20,1
20066,-25.0,-48.5,16,1
20211,-25.25,-52.5,10,1
20224,-25.25,-49.25,10,1
20364,-25.5,-54.5,18,1
20378,-25.5,-51.0,20,1
20385,-25.5,-49.25,22,1
20387,-25.5,-48.75,18,1
20389,-25.5,-48.25,12,1
20528,-25.75,-53.75,19,1
20531,-25.75,-53.0,19,1
20542,-25.75,-50.25,15,1
20709,-26.0,-48.75,19,1
20850,-26.25,-53.75,18,1
20867,-26.25,-49.5,18,1
21015,-26.5,-52.75,18,1
21017,-26.5,-52.25,18,1
21021,-26.5,-51.25,18,1
21025,-26.5,-50.25,17,1
21173,-26.75,-53.5,17,1
21183,-26.75,-51.0,17,1
21337,-27.0,-52.75,6,1
21338,-27.0,-52.5,18,1
21347,-27.0,-50.25,18,1
21351,-27.0,-49.25,20,1
21353,-27.0,-48.75,16,1
21503,-27.25,-51.5,17,1
21507,-27.25,-50.5,18,1
21656,-27.5,-53.5,19,1
21665,-27.5,-51.25,7,1
21671,-27.5,-49.75,18,1
21676,-27.5,-48.5,23,1
21816,-27.75,-53.75,25,1
21822,-27.75,-52.25,20,1
21830,-27.75,-50.25,12,1
21835,-27.75,-49.0,10,1
21974,-28.0,-54.5,20,1
21979,-28.0,-53.25,18,1
21981,-28.0,-52.75,1,1
22143,-28.25,-52.5,20,1
22147,-28.25,-51.5,19,1
22153,-28.25,-50.0,18,1
22155,-28.25,-49.5,18,1
22294,-28.5,-55.0,19,1
22299,-28.5,-53.75,19,1
22310,-28.5,-51.0,18,1
22317,-28.5,-49.25,18,1
22319,-28.5,-48.75,17,1
22451,-28.75,-56.0,19,1
22463,-28.75,-53.0,14,1
22465,-28.75,-52.5,18,1
22468,-28.75,-51.75,10,1
22471,-28.75,-51.0,1,1
22475,-28.75,-50.0,20,1
22621,-29.0,-53.75,7,1
22635,-29.0,-50.25,10,1
22638,-29.0,-49.5,18,1
22777,-29.25,-55.0,17,1
22791,-29.25,-51.5,20,1
22792,-29.25,-51.25,1,1
22794,-29.25,-50.75,18,1
22798,-29.25,-49.75,18,1
22951,-29.5,-51.75,14,1
22954,-29.5,-51.0,1,1
22956,-29.5,-50.5,1,1
22959,-29.5,-49.75,1,1
23091,-29.75,-57.0,20,1
23097,-29.75,-55.5,20,1
23100,-29.75,-54.75,10,1
23104,-29.75,-53.75,25,1
23109,-29.75,-52.5,20,1
23113,-29.75,-51.5,1,1
23114,-29.75,-51.25,1,1
23115,-29.75,-51.0,13,1
23117,-29.75,-50.5,2,2
23119,-29.75,-50.0,1,1
23265,-30.0,-53.75,3,1
23268,-30.0,-53.0,1,1
23272,-30.0,-52.0,1,1
23273,-30.0,-51.75,2,2
23275,-30.0,-51.25,26,1
23276,-30.0,-51.0,1,1
23279,-30.0,-50.25,18,1
23415,-30.25,-56.5,19,1
23424,-30.25,-54.25,19,1
23436,-30.25,-51.25,4,2
23439,-30.25,-50.5,1,1
23588,-30.5,-53.5,20,1
23592,-30.5,-52.5,8,1
23595,-30.5,-51.75,1,1
23741,-30.75,-55.5,23,1
23750,-30.75,-53.25,1,1
23756,-30.75,-51.75,20,1
23906,-31.0,-54.5,16,1
24069,-31.25,-54.0,20,2
24081,-31.25,-51.0,16,1
24232,-31.5,-53.5,1,1
24235,-31.5,-52.75,19,1
24391,-31.75,-54.0,1,1
24397,-31.75,-52.5,7,1
24554,-32.0,-53.5,1,1
24559,-32.0,-52.25,7,1
24560,-32.0,-52.0,18,1
24876,-32.5,-53.5,19,1
25040,-32.75,-52.75,1,1
25521,-33.5,-53.25,1,1
25682,-33.75,-53.25,18,1
