codigo,estacao,uf,anos_total,anos_desempenho_extremo,bias_mediano_c,rmse_mediano_c,correlacao_mediana,bias_min_c,bias_max_c,rmse_max_c,pct_anos_desempenho_extremo,comportamento_persistente
A308,PARNAIBA,PI,22,0,0.40515882261975955,1.5322270212173679,0.9200576210866878,-1.651130327680386,1.585492920805505,2.213650578163609,0.0,False
A309,ARCO VERDE,PE,22,0,-0.3988771141670877,1.2359367551989417,0.9680618664971703,-1.090620119401102,-0.18107986521879588,1.6016406119853752,0.0,False
A310,AREIA,PB,22,1,0.7680928971582179,1.2115135213882255,0.9552479080531661,0.6082515683629014,1.161534928906311,4.585440978785302,4.545454545454546,False
A311,FLORIANO,PI,21,0,-0.9290929704862898,1.9390587139310254,0.923752350598377,-1.3463367585460566,-0.6393978941477492,2.3042923507622683,0.0,False
A312,TERESINA,PI,20,0,-0.4559065439022411,1.6229024105748935,0.9329465523440345,-1.0725292255650087,-0.12405402351157353,1.9967895074063264,0.0,False
A313,CAMPINA GRANDE,PB,20,0,-0.42705583328893415,1.0133654437790558,0.9656196416693958,-0.7442279350468699,-0.19758542174182692,1.2503330094338192,0.0,False
A314,GUARAMIRANGA,CE,18,16,5.277933917614069,5.432434832931118,0.8995330635409706,3.0683590382555104,5.80710206437483,5.935483978397904,88.88888888888889,True
A315,BARBALHA,CE,17,0,-1.149819459296448,1.9718881192976192,0.916088448312928,-1.9845391386567512,0.14804988995564292,2.572851725756216,0.0,False
A316,CAICO,RN,19,2,-1.0010076694425232,1.6274747124786975,0.9575921052024721,-1.3138688141800516,-0.31284782064101097,7.64033784681597,10.526315789473683,False
A317,MACAU,RN,18,0,-0.3423764462388197,1.540061553079663,0.9129326240009051,-1.0408191060078618,0.07307400275639601,2.3074111240660886,0.0,False
A318,MOSSORO,RN,18,0,-0.7340913972460108,1.7974959572365337,0.9143093666534094,-1.0388410089456208,0.43802962948785995,2.020682396853288,0.0,False
A319,IGUATU,CE,19,0,-0.3442325338557988,1.359926671496434,0.9433593837005797,-0.7653306157237129,0.31191743129320937,1.9219587463689478,0.0,False
A320,JOAO PESSOA,PB,19,0,-0.888804042550182,1.7106400411764937,0.8674651502690894,-1.2424531660184297,-0.6577594221233195,2.091058712808543,0.0,False
A321,PATOS,PB,19,0,-1.4924244437611063,1.9262224764269806,0.9592355524120919,-1.9571689910874193,-1.2550820695375127,2.518968318597807,0.0,False
A322,GARANHUNS,PE,19,0,0.21428986902436498,0.9799601075755351,0.9697720216273121,-0.008620341211969152,0.3665403383608444,1.0130260223463046,0.0,False
