ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,flag_desempenho,amostra_suficiente,categoria_diagnostico,ano_anterior,ano_posterior,grid_index_anterior,grid_index_posterior,latitude_inmet_anterior,latitude_inmet_posterior,longitude_inmet_anterior,longitude_inmet_posterior,altitude_inmet_m_anterior,altitude_inmet_m_posterior,bias_c_anterior,bias_c_posterior,rmse_c_anterior,rmse_c_posterior,correlacao_pearson_anterior,correlacao_pearson_posterior,anterior_consecutivo,posterior_consecutivo,mudou_celula_vs_anterior,mudou_celula_vs_posterior,mudanca_coord_vs_anterior_km,mudanca_altitude_vs_anterior_m,delta_bias_vs_anterior,delta_rmse_vs_anterior,delta_correlacao_vs_anterior
2007,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.997716894977169,8740,364.1666666666667,26.555549193956214,25.26550880798759,-1.2900403914329974,2.0530009467895676,2.4559117884654555,0.9313889555707137,2.0899278095854044,-7.898974418640137,-4.268005084991454,-1.5377147793769836,2.44549741744995,8.35498046875,8.35498046875,0.0,0.0,0.0,0.0,12.600000381469727,39.900001525878906,14.336816787719727,37.246971130371094,8740,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.45236699662857016,0.21449259825900535,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2006.0,2008.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-0.9857846661892734,-0.9452988711080784,2.570314158186645,2.2453459688887123,0.7901026389791074,0.9341520925374343,True,True,False,False,0.0,0.0,-0.304255725243724,-0.11440236972118933,0.1412863165916063
2008,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.923952641165756,8116,338.1666666666667,25.7470921527699,24.80179329256873,-0.9452988711080784,1.8451925424429672,2.2453459688887123,0.9341520925374343,2.036786615005287,-7.212499618530273,-3.920080244541168,-1.0855220556259155,2.639683961868286,7.324463367462158,7.324463367462158,0.0,0.0,0.0,0.0,10.800000190734863,40.20000076293945,14.477777481079102,36.656639099121094,8116,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.10762547630365116,0.0039267786822621,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2007.0,2009.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-1.2900403914329974,-0.7243169222230367,2.4559117884654555,2.1755786730371147,0.9313889555707137,0.9242764502106217,True,True,False,False,0.0,0.0,0.344741520324919,-0.21056581957674325,0.002763136966720592
2009,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9973744292237444,8737,364.0416666666667,25.510610047447692,24.786293126713485,-0.7243169222230367,1.7715259016750313,2.1755786730371147,0.9242764502106217,2.0515821460123522,-7.211230278015137,-3.7583492755889893,-0.8543758392333984,2.877945899963379,8.507763862609863,8.507763862609863,0.0,0.0,0.0,0.0,11.600000381469727,38.70000076293945,14.743967056274414,36.052391052246094,8737,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,0.11335647258139059,-0.06584051716933548,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2008.0,2010.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-0.9452988711080784,-0.7450615987898506,2.2453459688887123,2.2374924115241885,0.9341520925374343,0.9249061719903192,True,True,False,False,0.0,0.0,0.22098194888504175,-0.06976729585159758,-0.009875642326812595
2010,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9700913242009132,8498,354.0833333333333,26.065203566695978,25.32014197791484,-0.7450615987898506,1.8452286659236228,2.2374924115241885,0.9249061719903192,2.1099240194016047,-8.017870903015137,-3.8303024411201476,-0.8618892729282379,2.841595590114593,8.72763729095459,8.72763729095459,0.0,0.0,0.0,0.0,11.300000190734863,38.900001525878906,13.848779678344727,36.265525817871094,8498,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,0.0926117960145767,-0.003926778682261656,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2009.0,2011.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-0.7243169222230367,-0.8064014683222436,2.1755786730371147,2.1994405615400137,0.9242764502106217,0.9255678880818908,True,True,False,False,0.0,0.0,-0.02074467656681389,0.06191373848707382,0.0006297217796975563
2011,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9987442922374428,8749,364.5416666666667,25.182638008208368,24.37623654661049,-0.8064014683222436,1.8035173430520888,2.1994405615400137,0.9255678880818908,2.0463953939847985,-8.44057559967041,-3.760753536224365,-0.930141806602478,2.8476859092712403,7.335986614227295,8.44057559967041,0.0,0.0,0.0,0.0,12.199999809265137,38.70000076293945,14.796945571899414,35.612205505371094,8749,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,0.03127192648218369,-0.041978628666436535,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2010.0,2012.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-0.7450615987898506,-1.453855012804534,2.2374924115241885,2.604167517328531,0.9249061719903192,0.9211010681299437,True,True,False,False,0.0,0.0,-0.06133986953239301,-0.03805184998417488,0.000661716091571618
2012,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.8319672131147541,7308,304.5,26.945840166511598,25.49198516157721,-1.453855012804534,2.1763274161892343,2.604167517328531,0.9211010681299437,2.1607019458287953,-8.685644149780273,-4.471449971199036,-1.694287657737732,2.3395676136016847,8.018750190734863,8.685644149780273,0.0,0.0,0.0,0.0,12.600000381469727,39.79999923706055,14.625391006469727,37.150779724121094,7308,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.6161816180001067,0.3627483271220808,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2011.0,2013.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-0.8064014683222436,-1.3209597344658337,2.1994405615400137,2.310308804706439,0.9255678880818908,0.9262274228593246,True,True,False,False,0.0,0.0,-0.6474535444822904,0.40472695578851736,-0.0044668199519470875
2013,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9963470319634704,8728,363.6666666666667,26.876775892801398,25.555816159130345,-1.3209597344658337,1.921685419574126,2.310308804706439,0.9262274228593246,1.8955220434151534,-8.443163871765137,-4.070342969894409,-1.4674312472343445,1.9412566304206846,7.164941787719727,8.443163871765137,0.0,0.0,0.0,0.0,12.800000190734863,39.599998474121094,15.110574722290039,36.154685974121094,8728,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.48328633966140644,0.06888961449998865,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2012.0,2014.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-1.453855012804534,-1.4175921684009718,2.604167517328531,2.3412712253416585,0.9211010681299437,0.9361234783349315,True,True,False,False,0.0,0.0,0.1328952783387003,-0.2938587126220922,0.005126354729380833
2014,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9993150684931508,8754,364.75,26.70066254624281,25.283070385387997,-1.4175921684009718,1.9568332473813845,2.3412712253416585,0.9361234783349315,1.8634323322312687,-10.556835174560547,-4.165871357917786,-1.617275595664978,1.8769169330596926,7.588330268859863,10.556835174560547,1.0,0.01142334932602239,0.0,0.0,14.0,39.0,15.990152359008789,36.076316833496094,8754,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.5799187735965445,0.09985203513520835,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2013.0,2015.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-1.3209597344658337,-1.1156523282812258,2.310308804706439,2.3258562183433265,0.9262274228593246,0.9301406289448473,True,True,False,False,0.0,0.0,-0.0966324339351381,0.0309624206352197,0.009896055475606902
2015,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9998858447488584,8759,364.9583333333333,27.307215433113107,26.191563108356892,-1.1156523282812258,1.9122342644942587,2.3258562183433265,0.9301406289448473,2.0409317939786313,-10.816015243530273,-4.040833806991577,-1.2605464458465576,2.4530764579772955,9.414451599121094,10.816015243530273,1.0,0.011416828405069072,0.0,0.0,13.5,41.0,14.982080459594727,38.132713317871094,8759,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.2779789334767986,0.08443702813687626,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2014.0,2016.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-1.4175921684009718,-0.8702794713143926,2.3412712253416585,2.204172145803576,0.9361234783349315,0.9058588371716034,True,True,False,False,0.0,0.0,0.30193984011974595,-0.015415006998332093,-0.0059828493900841995
2016,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9998861566484516,8783,365.9583333333333,27.195662066752718,26.32538260314726,-0.8702794713143926,1.8184730507907134,2.204172145803576,0.9058588371716034,2.0252050431360864,-9.251806259155273,-3.781479024887085,-1.0836422443389893,2.805017781257629,8.069775581359863,9.251806259155273,0.0,0.0,0.0,0.0,13.899999618530273,38.5,15.504785537719727,35.564353942871094,8783,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.03260607650996539,-0.037247044402874074,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2015.0,2017.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-1.1156523282812258,-1.5909335087487941,2.3258562183433265,2.3939258268637147,0.9301406289448473,0.9343931763292703,True,True,False,False,0.0,0.0,0.2453728569668332,-0.12168407253975033,-0.024281791773243855
2017,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,0.9124429223744293,7993,333.0416666666667,26.92484672386029,25.333913232542525,-1.5909335087487941,2.0013495987327317,2.3939258268637147,0.9343931763292703,1.7889135842939885,-8.202685356140137,-4.284315872192383,-1.7564938068389893,1.4991287946701022,6.753955364227295,8.202685356140137,0.0,0.0,0.0,0.0,13.399999618530273,40.0,15.212823867797852,36.822654724121094,7993,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.7532601139443669,0.1525066366572645,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2016.0,2018.0,11869.0,11869.0,-12.15,-12.15,-45.01666666,-45.01666666,470.37,470.37,-0.8702794713143926,-1.0557265666405473,2.204172145803576,2.209195402843524,0.9058588371716034,0.9338106359597679,True,True,False,False,0.0,0.0,-0.7206540374344015,0.18975368106013857,0.0285343391576669
2018,A402,BARREIRAS,BA,NE,-12.15,-45.01666666,470.37,-12.25,-45.0,11869,11.26608251930016,1.0,8760,365.0,26.39738583042197,25.341659277432587,-1.0557265666405473,1.8172640928208492,2.209195402843524,0.9338106359597679,1.940725560341926,-8.958934783935547,-3.8718384981155394,-1.2523921728134155,2.4173289179801887,7.660107612609863,8.958934783935547,0.0,0.0,0.0,0.0,13.0,39.099998474121094,14.979898452758789,36.202537536621094,8760,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,-0.21805317183612005,-0.03222378736292608,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2017.0,2019.0,11869.0,11708.0,-12.15,-12.124715,-45.01666666,-45.027049,470.37,474.17,-1.5909335087487941,-0.24524135575861117,2.3939258268637147,2.106252563454478,0.9343931763292703,0.9279936723637331,True,True,False,True,0.0,0.0,0.5352069421082468,-0.18473042402019058,-0.0005825403695024489
2019,A402,BARREIRAS,BA,NE,-12.124715,-45.027049,474.17,-12.0,-45.0,11708,14.17618549937242,0.912214611872146,7991,332.9583333333333,27.291465394802138,27.046224042987692,-0.24524135575861117,1.7250636679752276,2.106252563454478,0.9279936723637331,2.092057418591032,-6.509570121765137,-3.2569830417633057,-0.4308101534843445,3.4443607330322266,9.985349655151367,9.985349655151367,0.0,0.0,0.0,0.0,13.0,40.0,16.90354347229004,37.427146911621094,7991,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,0.5924320390458161,-0.135166626751972,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2018.0,2020.0,11869.0,11708.0,-12.15,-12.12472221,-45.01666666,-45.02694443,470.37,474.17,-1.0557265666405473,-0.8208626254465164,2.209195402843524,2.0510156709625527,0.9338106359597679,0.9289008448868067,True,True,True,False,3.029650583876989,3.8000000000000114,0.8104852108819361,-0.10294283938904591,-0.005816963596034785
2020,A402,BARREIRAS,BA,NE,-12.12472221,-45.02694443,474.17,-12.0,-45.0,11708,14.17461498991426,1.0,8784,366.0,26.04150727689809,25.22064466011763,-0.8208626254465164,1.6772916762743253,2.0510156709625527,0.9289008448868067,1.879694674657708,-7.86806583404541,-3.472575235366821,-0.9870113432407379,2.5667752504348766,7.534080505371094,7.86806583404541,0.0,0.0,0.0,0.0,12.899999618530273,40.099998474121094,14.450006484985352,37.550682067871094,8784,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,0.016810769357910815,-0.19040351924389753,False,False,False,False,False,False,False,0,False,sem_flag,False,True,sem_anomalia_desempenho,2019.0,2021.0,11708.0,11708.0,-12.124715,-12.12472221,-45.027049,-45.02694443,474.17,474.17,-0.24524135575861117,-0.6148655423871595,2.106252563454478,1.9608116734224927,0.9279936723637331,0.9256432683760131,True,True,False,False,0.011396522105589373,0.0,-0.5756212696879053,-0.05523689249192554,0.0009071725230735961
2021,A402,BARREIRAS,BA,NE,-12.12472221,-45.02694443,474.17,-12.0,-45.0,11708,14.17461498991426,0.7447488584474886,6524,271.8333333333333,26.546612491935107,25.93174696436402,-0.6148655423871595,1.5630803703126623,1.9608116734224927,0.9256432683760131,1.8620564558642754,-6.542040824890137,-3.3968249559402466,-0.718017190694809,2.7116938829421975,8.078123092651367,8.078123092651367,0.0,0.0,0.0,0.0,14.5,40.5,15.513330459594727,38.158348083496094,6524,True,24,-0.8376733948044273,2.24141919020645,0.9271105476115289,0.22280785241726775,-0.28060751678395746,False,True,False,False,False,False,False,1,True,cobertura_baixa,False,True,sem_anomalia_desempenho,2020.0,2022.0,11708.0,11708.0,-12.12472221,-12.12472221,-45.02694443,-45.02694443,474.17,474.17,-0.8208626254465164,-0.779263232468165,2.0510156709625527,2.2933199230934256,0.9289008448868067,0.9215116738069189,True,True,False,False,0.0,0.0,0.20599708305935693,-0.09020399754005992,-0.003257576510793614
