codigo,variavel,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,sen_06i_segmento_c_decada,sen_06g_c_decada,rede_06g,rede_06i,delta_sen_06i_menos_06g,abs_delta_sen,mesmo_sinal_sen
A507,tmax_era5,UBERLANDIA,MG,Sudeste,17,2009,2025,1.73095703125,1.1015973772321428,sensibilidade_10a,sensibilidade_consecutiva_10a,0.6293596540178572,0.6293596540178572,True
A509,tmax_era5,MONTE VERDE,MG,Sudeste,10,2016,2025,2.2265625,1.09832763671875,sensibilidade_10a,sensibilidade_consecutiva_10a,1.12823486328125,1.12823486328125,True
A510,tmax_era5,VICOSA,MG,Sudeste,11,2011,2021,1.4545860290527344,1.2365964253743489,sensibilidade_10a,sensibilidade_consecutiva_10a,0.2179896036783855,0.2179896036783855,True
A513,tmax_era5,OURO BRANCO,MG,Sudeste,12,2010,2021,2.348225911458333,0.5965169270833334,sensibilidade_10a,sensibilidade_consecutiva_10a,1.7517089843749996,1.7517089843749996,True
A521,tmax_era5,PAMPULHA,MG,Sudeste,17,2009,2025,2.1055491765340166,1.44134521484375,sensibilidade_10a,sensibilidade_consecutiva_10a,0.6642039616902666,0.6642039616902666,True
A531,tmax_era5,MARIA DA FE,MG,Sudeste,18,2008,2025,1.57745361328125,1.57745361328125,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A533,tmax_era5,GUANHAES,MG,Sudeste,11,2008,2018,1.4212472098214284,1.271158854166667,sensibilidade_10a,sensibilidade_consecutiva_10a,0.15008835565476142,0.15008835565476142,True
A539,tmax_era5,MOCAMBINHO,MG,Sudeste,10,2016,2025,-0.21763392857142855,0.45200892857142855,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.6696428571428571,0.6696428571428571,False
A555,tmax_era5,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,2.340695858001709,2.54058837890625,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.19989252090454102,0.19989252090454102,True
A701,tmax_era5,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,1.00860595703125,1.0111860795454546,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.002580122514204586,0.002580122514204586,True
A703,tmax_era5,PONTA PORA,MS,Centro-Oeste,10,2012,2021,1.3264973958333335,0.903063322368421,sensibilidade_10a,sensibilidade_consecutiva_10a,0.42343407346491246,0.42343407346491246,True
A801,tmax_era5,PORTO ALEGRE,RS,Sul,19,2007,2025,1.613006591796875,1.613006591796875,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A811,tmax_era5,CANGUCU,RS,Sul,11,2009,2019,3.11767578125,1.4953597386678057,sensibilidade_10a,sensibilidade_consecutiva_10a,1.6223160425821943,1.6223160425821943,True
A839,tmax_era5,PASSO FUNDO,RS,Sul,10,2007,2016,0.8829752604166667,0.9880719866071429,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.10509672619047616,0.10509672619047616,True
A884,tmax_era5,CAMPO BOM,RS,Sul,11,2014,2024,2.1044921875,2.1044921875,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
F501,tmax_era5,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,0.49397786458333337,0.49397786458333337,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A001,tmax_inmet,BRASILIA,DF,Centro-Oeste,15,2011,2025,1.2857164655412947,1.031250556310018,sensibilidade_10a,sensibilidade_consecutiva_10a,0.25446590923127665,0.25446590923127665,True
A002,tmax_inmet,GOIANIA,GO,Centro-Oeste,15,2010,2024,2.0833333333333335,1.6923082791841948,sensibilidade_10a,sensibilidade_consecutiva_10a,0.3910250541491387,0.3910250541491387,True
A036,tmax_inmet,CRISTALINA,GO,Centro-Oeste,18,2008,2025,1.3333333333333333,1.3333333333333333,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A045,tmax_inmet,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,1.6547616322835283,1.6547616322835283,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A046,tmax_inmet,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,0.8333333333333333,0.8333333333333333,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A101,tmax_inmet,MANAUS,AM,Norte,15,2011,2025,0.0,0.1714259556361607,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.1714259556361607,0.1714259556361607,False
A408,tmax_inmet,ITABERABA,BA,Nordeste,12,2012,2023,1.549999713897705,0.6515146505953086,sensibilidade_10a,sensibilidade_consecutiva_10a,0.8984850633023965,0.8984850633023965,True
A409,tmax_inmet,ARACAJU,SE,Nordeste,10,2011,2020,-1.4999961853027344,1.214284896850586,sensibilidade_10a,sensibilidade_consecutiva_10a,-2.7142810821533203,2.7142810821533203,False
A430,tmax_inmet,PIATA,BA,Nordeste,12,2009,2020,0.5793648674374535,0.7142857142857142,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.13492084684826067,0.13492084684826067,True
A502,tmax_inmet,BARBACENA,MG,Sudeste,10,2013,2022,0.20000076293945312,0.9090926430442116,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.7090918801047584,0.7090918801047584,True
A506,tmax_inmet,MONTES CLAROS,MG,Sudeste,10,2016,2025,-0.5555555555555556,0.6794890379294372,sensibilidade_10a,sensibilidade_consecutiva_10a,-1.2350445934849927,1.2350445934849927,False
A507,tmax_inmet,UBERLANDIA,MG,Sudeste,17,2009,2025,1.2363666187633169,0.9999990463256836,sensibilidade_10a,sensibilidade_consecutiva_10a,0.2363675724376333,0.2363675724376333,True
A509,tmax_inmet,MONTE VERDE,MG,Sudeste,10,2016,2025,0.3749990463256836,0.5555555555555556,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.180556509229872,0.180556509229872,True
A510,tmax_inmet,VICOSA,MG,Sudeste,11,2011,2021,1.875,1.5277793672349718,sensibilidade_10a,sensibilidade_consecutiva_10a,0.34722063276502824,0.34722063276502824,True
A513,tmax_inmet,OURO BRANCO,MG,Sudeste,12,2010,2021,1.4999961853027344,0.44444190131293404,sensibilidade_10a,sensibilidade_consecutiva_10a,1.0555542839898004,1.0555542839898004,True
A521,tmax_inmet,PAMPULHA,MG,Sudeste,17,2009,2025,1.366663614908854,1.0000010899135046,sensibilidade_10a,sensibilidade_consecutiva_10a,0.36666252499534946,0.36666252499534946,True
A531,tmax_inmet,MARIA DA FE,MG,Sudeste,18,2008,2025,1.3333352406819663,1.3333352406819663,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A533,tmax_inmet,GUANHAES,MG,Sudeste,11,2008,2018,1.6666666666666665,1.6666666666666665,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A539,tmax_inmet,MOCAMBINHO,MG,Sudeste,10,2016,2025,0.3333346048990885,0.7142857142857142,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.3809511093866257,0.3809511093866257,True
A555,tmax_inmet,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,1.4615381681002104,1.1428587777273995,sensibilidade_10a,sensibilidade_consecutiva_10a,0.3186793903728109,0.3186793903728109,True
A701,tmax_inmet,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,0.9999990463256836,1.4000015258789062,sensibilidade_10a,sensibilidade_consecutiva_10a,-0.40000247955322266,0.40000247955322266,True
A703,tmax_inmet,PONTA PORA,MS,Centro-Oeste,10,2012,2021,1.3333320617675781,0.8333333333333333,sensibilidade_10a,sensibilidade_consecutiva_10a,0.49999872843424487,0.49999872843424487,True
A801,tmax_inmet,PORTO ALEGRE,RS,Sul,19,2007,2025,1.3333257039388022,1.3333257039388022,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
A811,tmax_inmet,CANGUCU,RS,Sul,11,2009,2019,0.7500028610229492,0.3333356645372179,sensibilidade_10a,sensibilidade_consecutiva_10a,0.4166671964857313,0.4166671964857313,True
A839,tmax_inmet,PASSO FUNDO,RS,Sul,10,2007,2016,-0.666669209798177,0.8154755546933129,sensibilidade_10a,sensibilidade_consecutiva_10a,-1.48214476449149,1.48214476449149,False
A884,tmax_inmet,CAMPO BOM,RS,Sul,11,2014,2024,1.1428560529436385,1.1428560529436385,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
F501,tmax_inmet,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,0.5000019073486328,0.5000019073486328,sensibilidade_10a,sensibilidade_consecutiva_10a,0.0,0.0,True
