rede,variavel,nome_variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,valor_inicial_c,valor_final_c,n,mk_s,mk_tau,mk_var_classica,mk_z_classico,mk_p_classico,sen_slope_c_ano,sen_slope_c_decada,rho1_rank_detrendido,limite_acf_aprox,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_var_modificada,mk_z_modificado,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,classificacao_classica,classificacao_modificada,classificacao_modificada_fdr,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,-2.347166061401367,-2.5624542236328125,17,-60,-0.4411764705882353,589.3333333333334,-2.430365035986322,0.015083622594694868,-0.07740473747253418,-0.7740473747253418,-0.2426470588235294,0.4753610900391235,0,1.0,589.3333333333334,-2.430365035986322,0.015083622594694868,0.10181445251419036,True,True,False,decrescente,decrescente,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,-0.37265777587890625,-2.063526153564453,11,-35,-0.6363636363636364,165.0,-2.646896410149178,0.008123423304273514,-0.156005859375,-1.56005859375,-0.2237442922374429,0.5909513763026626,0,1.0,165.0,-2.646896410149178,0.008123423304273514,0.10181445251419036,True,True,False,decrescente,decrescente,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A101,MANAUS,AM,Norte,15,2011,2025,-4.423877716064453,0.4052734375,15,33,0.3142857142857143,408.3333333333333,1.5835893097772593,0.11328720822235328,0.11102973090277778,1.1102973090277777,-0.554561717352415,0.5060605247526638,1,1.887298747763864,770.6469886702445,1.1527157720893397,0.24902706558351273,0.5603108975629036,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.13573985736115945
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A408,ITABERABA,BA,Nordeste,12,2012,2023,0.1584930419921875,-0.6519546508789062,12,-18,-0.2727272727272727,212.66666666666666,-1.1657333182503609,0.2437222847721745,-0.04642343521118164,-0.4642343521118164,-0.243006993006993,0.5657928670380857,0,1.0,212.66666666666666,-1.1657333182503609,0.2437222847721745,0.5603108975629036,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A409,ARACAJU,SE,Nordeste,10,2011,2020,-5.282712936401367,-5.139795303344727,10,11,0.24444444444444444,125.0,0.8944271909999159,0.37109336952269767,0.12647724151611328,1.2647724151611328,0.17073170731707318,0.6197950323045613,0,1.0,125.0,0.8944271909999159,0.37109336952269767,0.6434607747857742,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A430,PIATA,BA,Nordeste,12,2009,2020,-0.539794921875,0.518798828125,12,0,0.0,212.66666666666666,0.0,1.0,0.006058999470302038,0.06058999470302037,0.06818181818181818,0.5657928670380857,1,1.705657978385251,362.7365967365967,0.0,1.0,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A502,BARBACENA,MG,Sudeste,10,2013,2022,-0.6972160339355469,-0.2902336120605469,10,-3,-0.06666666666666667,125.0,-0.17888543819998318,0.8580276569875211,-0.05396216256277902,-0.5396216256277901,-0.18902439024390244,0.6197950323045613,0,1.0,125.0,-0.17888543819998318,0.8580276569875211,1.0,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A506,MONTES CLAROS,MG,Sudeste,10,2016,2025,-2.4056167602539062,-1.9656753540039062,10,9,0.2,125.0,0.7155417527999327,0.4742743507673297,0.07335805892944336,0.7335805892944336,0.23780487804878048,0.6197950323045613,0,1.0,125.0,0.7155417527999327,0.4742743507673297,0.7256336797446785,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A507,UBERLANDIA,MG,Sudeste,17,2009,2025,-1.9044456481933594,-1.6007843017578125,17,18,0.1323529411764706,589.3333333333334,0.7002746713858894,0.48375578649645234,0.022228326116289412,0.22228326116289412,0.33578431372549017,0.4753610900391235,0,1.0,589.3333333333334,0.7002746713858894,0.48375578649645234,0.7256336797446785,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,Delta Tmax (ERA5 - INMET),A509,MONTE VERDE,MG,Sudeste,10,2016,2025,0.5958499908447266,0.8204593658447266,10,15,0.3333333333333333,125.0,1.2521980673998823,0.2104977000553374,0.10481452941894531,1.0481452941894531,-0.7469512195121951,0.6197950323045613,1,2.0457317073170733,255.71646341463418,0.8754849624768547,0.3813100887619403,0.6434607747857742,False,False,False,sem_tendencia_significativa,sem_tendencia_significativa,sem_tendencia_significativa,False,0.17081238870660287
