codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A316,2014,anomalia,23,7224,-1.1561359167099,6.906493186950684,-0.3311533819570231
A316,2014,anomalia,24,7241,-1.1253753900527954,6.886039733886719,-0.32619739423907923
A316,2015,anomalia,-24,8029,-1.1604821681976318,7.660447120666504,-0.5751744472324809
A316,2015,anomalia,-23,8030,-1.162166714668274,7.549835681915283,-0.5288273295838244
A316,2015,anomalia,-22,8031,-1.1638309955596924,7.343276023864746,-0.4440014664697676
A316,2015,anomalia,-21,8032,-1.1653050184249878,7.04177713394165,-0.3245907241654523
A316,2015,anomalia,-20,8033,-1.1664983034133911,6.649781227111816,-0.17706630044291738
A316,2015,anomalia,-19,8034,-1.1674747467041016,6.176292419433594,-0.010234936934149504
A316,2015,anomalia,-18,8035,-1.1680034399032593,5.6353325843811035,0.1652174339514951
A316,2015,anomalia,-17,8036,-1.168008804321289,5.047938346862793,0.33752523996290235
A316,2015,anomalia,-16,8037,-1.167149543762207,4.445152759552002,0.4946201397247664
A316,2015,anomalia,-15,8038,-1.1657006740570068,3.875131130218506,0.6247635012078354
A316,2015,anomalia,-14,8039,-1.1656484603881836,3.415327548980713,0.7168529469893895
A316,2015,anomalia,-13,8041,-1.16472589969635,3.161557912826538,0.7626549115004475
A316,2015,anomalia,-12,8043,-1.1635984182357788,3.1952459812164307,0.7567087183320985
A316,2015,anomalia,-11,8045,-1.16242253780365,3.517566442489624,0.6972044895602688
A316,2015,anomalia,-10,8047,-1.161315679550171,4.030019760131836,0.5909570592439456
A316,2015,anomalia,-9,8049,-1.1600751876831055,4.625030517578125,0.44950782364093556
A316,2015,anomalia,-8,8051,-1.1590864658355713,5.232266902923584,0.28520961274306517
A316,2015,anomalia,-7,8053,-1.1585612297058105,5.807600975036621,0.11106569742982884
A316,2015,anomalia,-6,8055,-1.15824294090271,6.325363636016846,-0.06109916650330687
A316,2015,anomalia,-5,8057,-1.1582214832305908,6.7701897621154785,-0.2206333805055834
A316,2015,anomalia,-4,8059,-1.1583303213119507,7.131397247314453,-0.35815793697159726
A316,2015,anomalia,-3,8061,-1.158432126045227,7.402501583099365,-0.46614165768564164
A316,2015,anomalia,-2,8063,-1.1586887836456299,7.579084873199463,-0.5387398848679292
A316,2015,anomalia,-1,8067,-1.159366250038147,7.658724784851074,-0.571555236643297
A316,2015,anomalia,0,8072,-1.160019040107727,7.6403374671936035,-0.5634791548718733
A316,2015,anomalia,1,8067,-1.1588425636291504,7.527420997619629,-0.5171363658315166
A316,2015,anomalia,2,8063,-1.1576451063156128,7.317086696624756,-0.4321766504644095
A316,2015,anomalia,3,8061,-1.1562107801437378,7.009593963623047,-0.31148281502564823
A316,2015,anomalia,4,8059,-1.1544228792190552,6.610121250152588,-0.1624897394370656
A316,2015,anomalia,5,8057,-1.1525464057922363,6.1268744468688965,0.006121981510156253
A316,2015,anomalia,6,8055,-1.1506954431533813,5.573626518249512,0.18357182210960807
A316,2015,anomalia,7,8053,-1.1489903926849365,4.971066474914551,0.357810097626771
A316,2015,anomalia,8,8051,-1.1474220752716064,4.349325180053711,0.516776433429916
A316,2015,anomalia,9,8049,-1.146045207977295,3.7560501098632812,0.6487269458207044
A316,2015,anomalia,10,8047,-1.1447224617004395,3.269484758377075,0.7425161180667542
A316,2015,anomalia,11,8045,-1.1434683799743652,2.996819019317627,0.789352722236688
A316,2015,anomalia,12,8043,-1.1427463293075562,3.0351860523223877,0.7829436932001306
A316,2015,anomalia,13,8041,-1.1428579092025757,3.3825433254241943,0.7217604096121014
A316,2015,anomalia,14,8039,-1.1437908411026,3.9274885654449463,0.6124869669280832
A316,2015,anomalia,15,8038,-1.1459630727767944,4.553221702575684,0.46698885361988257
A316,2015,anomalia,16,8037,-1.148535966873169,5.184837341308594,0.29847334869173153
A316,2015,anomalia,17,8036,-1.1516236066818237,5.777411937713623,0.12058939469292186
A316,2015,anomalia,18,8035,-1.1547436714172363,6.307027816772461,-0.05476722198705281
A316,2015,anomalia,19,8034,-1.1576125621795654,6.759607315063477,-0.21696453102744553
A316,2015,anomalia,20,8033,-1.160182237625122,7.12660551071167,-0.35695786884813285
A316,2015,anomalia,21,8032,-1.1626049280166626,7.401576519012451,-0.4667718447098463
A316,2015,anomalia,22,8031,-1.163803219795227,7.580942153930664,-0.5407700127326078
A316,2015,anomalia,23,8030,-1.1639305353164673,7.663573265075684,-0.5756907533584754
