codigo,estacao,uf,regiao,anos_validos_extremos,primeiro_ano_valido_extremos,ultimo_ano_valido_extremos,maior_sequencia_consecutiva,rede_extremos_10a,rede_extremos_15a,rede_extremos_consecutiva_10a,rede_extremos_consecutiva_15a
A348,CABACEIRAS,PB,Nordeste,11,2009.0,2023.0,4,True,False,False,False
A349,IBIMIRIM,PE,Nordeste,13,2009.0,2025.0,8,True,False,False,False
A350,SERRA TALHADA,PE,Nordeste,8,2009.0,2020.0,4,False,False,False,False
A351,FLORESTA,PE,Nordeste,9,2009.0,2024.0,3,False,False,False,False
A352,CAMARATUBA,PB,Nordeste,6,2009.0,2023.0,3,False,False,False,False
A353,ARAPIRACA,AL,Nordeste,8,2009.0,2017.0,7,False,False,False,False
A354,OEIRAS,PI,Nordeste,8,2009.0,2024.0,2,False,False,False,False
A355,CORURIPE,AL,Nordeste,9,2009.0,2025.0,4,False,False,False,False
A356,SAO LUIS DO QUITUNDE,AL,Nordeste,7,2009.0,2019.0,2,False,False,False,False
A357,PALMARES,PE,Nordeste,10,2009.0,2025.0,6,True,False,False,False
A358,JAGUARIBE,CE,Nordeste,10,2009.0,2023.0,4,True,False,False,False
A359,ITAPIPOCA,CE,Nordeste,6,2009.0,2023.0,2,False,False,False,False
A360,ACARAU,CE,Nordeste,7,2010.0,2018.0,4,False,False,False,False
A361,CASTELO DO PIAUI,PI,Nordeste,7,2010.0,2024.0,3,False,False,False,False
A362,SAO PEDRO DO PIAUI,PI,Nordeste,5,2011.0,2018.0,2,False,False,False,False
A363,VALENCA DO PIAUI,PI,Nordeste,10,2010.0,2025.0,6,True,False,False,False
A364,GILBUES,PI,Nordeste,7,2010.0,2024.0,3,False,False,False,False
A365,CANTO DO BURITI,PI,Nordeste,0,,,0,False,False,False,False
A366,OURICURI,PE,Nordeste,4,2011.0,2025.0,2,False,False,False,False
A367,SANTA CRUZ,RN,Nordeste,4,2012.0,2017.0,2,False,False,False,False
A368,TIANGUA,CE,Nordeste,3,2019.0,2023.0,2,False,False,False,False
A369,QUIXADA,CE,Nordeste,1,2023.0,2023.0,1,False,False,False,False
A370,SALGUEIRO,PE,Nordeste,4,2018.0,2025.0,3,False,False,False,False
A371,PIRANHAS,AL,Nordeste,4,2018.0,2025.0,2,False,False,False,False
A372,IPANGUACU,RN,Nordeste,1,2018.0,2018.0,1,False,False,False,False
A373,ITAPORANGA,PB,Nordeste,1,2018.0,2018.0,1,False,False,False,False
A374,CORRENTE,PI,Nordeste,5,2019.0,2025.0,4,False,False,False,False
A375,BAIXA GRANDE DO RIBEIRO,PI,Nordeste,3,2020.0,2025.0,2,False,False,False,False
A376,CAMPO MAIOR,PI,Nordeste,0,,,0,False,False,False,False
A377,ANGICAL DO PIAUI,PI,Nordeste,1,2020.0,2020.0,1,False,False,False,False
A401,SALVADOR,BA,Nordeste,15,2004.0,2025.0,9,True,True,False,False
A402,BARREIRAS,BA,Nordeste,12,2007.0,2024.0,4,True,False,False,False
A404,LUIZ EDUARDO MAGALHAES,BA,Nordeste,11,2007.0,2024.0,4,True,False,False,False
A405,CARAVELAS,BA,Nordeste,8,2004.0,2025.0,2,False,False,False,False
A406,CRUZ DAS ALMAS,BA,Nordeste,0,,,0,False,False,False,False
A407,ITIRUCU,BA,Nordeste,12,2004.0,2022.0,5,True,False,False,False
A408,ITABERABA,BA,Nordeste,16,2004.0,2025.0,12,True,True,True,False
A409,ARACAJU,SE,Nordeste,11,2004.0,2020.0,10,True,False,True,False
A410,ILHEUS,BA,Nordeste,7,2004.0,2024.0,3,False,False,False,False
A412,MACAJUBA,BA,Nordeste,0,,,0,False,False,False,False
A413,FEIRA DE SANTANA,BA,Nordeste,8,2008.0,2022.0,4,False,False,False,False
A414,VITORIA DA CONQUISTA,BA,Nordeste,13,2008.0,2025.0,6,True,False,False,False
A415,SANTA RITA DE CASSIA,BA,Nordeste,6,2008.0,2018.0,2,False,False,False,False
A416,CORRENTINA,BA,Nordeste,10,2010.0,2025.0,3,True,False,False,False
A417,ITABAIANINHA,SE,Nordeste,10,2008.0,2025.0,3,True,False,False,False
A418,BOM JESUS DA LAPA,BA,Nordeste,0,,,0,False,False,False,False
A419,POCO VERDE,SE,Nordeste,7,2009.0,2021.0,2,False,False,False,False
A420,CARIRA,SE,Nordeste,7,2009.0,2020.0,3,False,False,False,False
A421,BREJO GRANDE,SE,Nordeste,8,2009.0,2025.0,3,False,False,False,False
A422,ABROLHOS,BA,Nordeste,2,2015.0,2019.0,1,False,False,False,False
A423,REMANSO,BA,Nordeste,9,2009.0,2023.0,2,False,False,False,False
A424,IRECE,BA,Nordeste,11,2009.0,2025.0,5,True,False,False,False
A425,LENCOIS,BA,Nordeste,10,2009.0,2023.0,3,True,False,False,False
A426,GUANAMBI,BA,Nordeste,10,2009.0,2025.0,4,True,False,False,False
A427,PORTO SEGURO,BA,Nordeste,6,2009.0,2018.0,3,False,False,False,False
A428,SENHOR DO BONFIM,BA,Nordeste,9,2009.0,2023.0,3,False,False,False,False
A429,BARRA,BA,Nordeste,8,2009.0,2025.0,3,False,False,False,False
A430,PIATA,BA,Nordeste,14,2009.0,2023.0,12,True,False,True,False
A431,CONDE,BA,Nordeste,0,,,0,False,False,False,False
A432,BURITIRAMA,BA,Nordeste,4,2012.0,2015.0,4,False,False,False,False
A433,BRUMADO,BA,Nordeste,14,2009.0,2024.0,7,True,False,False,False
A434,AMARGOSA,BA,Nordeste,13,2009.0,2025.0,5,True,False,False,False
A435,UAUA,BA,Nordeste,7,2009.0,2018.0,2,False,False,False,False
A436,QUEIMADAS,BA,Nordeste,9,2009.0,2023.0,3,False,False,False,False
A437,UNA,BA,Nordeste,10,2009.0,2024.0,4,True,False,False,False
A438,MARAU,BA,Nordeste,7,2009.0,2020.0,3,False,False,False,False
A439,IBOTIRAMA,BA,Nordeste,9,2009.0,2025.0,2,False,False,False,False
A440,JACOBINA,BA,Nordeste,8,2009.0,2019.0,4,False,False,False,False
A441,SERRINHA,BA,Nordeste,10,2009.0,2019.0,8,True,False,False,False
A442,EUCLIDES DA CUNHA,BA,Nordeste,10,2009.0,2025.0,4,True,False,False,False
A443,DELFINO,BA,Nordeste,9,2009.0,2025.0,4,False,False,False,False
A444,VALENCA,BA,Nordeste,4,2014.0,2023.0,1,False,False,False,False
A445,IPIAU,BA,Nordeste,8,2010.0,2019.0,5,False,False,False,False
A446,ITAPETINGA,BA,Nordeste,7,2010.0,2020.0,3,False,False,False,False
A447,BELMONTE,BA,Nordeste,9,2010.0,2025.0,3,False,False,False,False
A448,CURACA,BA,Nordeste,4,2016.0,2020.0,3,False,False,False,False
A449,PILAO ARCADO,BA,Nordeste,0,,,0,False,False,False,False
A450,JEREMOABO,BA,Nordeste,6,2016.0,2024.0,4,False,False,False,False
A451,ITABAIANA,SE,Nordeste,2,2018.0,2019.0,2,False,False,False,False
A452,FORMOSO DO RIO PRETO,BA,Nordeste,2,2018.0,2019.0,2,False,False,False,False
A453,NOSSA SENHORA DA GLORIA,SE,Nordeste,3,2018.0,2024.0,1,False,False,False,False
A454,MACAUBAS,BA,Nordeste,1,2018.0,2018.0,1,False,False,False,False
A455,ITAMARAJU,BA,Nordeste,0,,,0,False,False,False,False
A456,SALVADOR (RADIO FAROL),BA,Nordeste,4,2019.0,2025.0,2,False,False,False,False
A458,RIBEIRA DO AMPARO,BA,Nordeste,6,2019.0,2025.0,5,False,False,False,False
A502,BARBACENA,MG,Sudeste,15,2009.0,2025.0,10,True,True,True,False
A505,ARAXA,MG,Sudeste,17,2003.0,2024.0,8,True,True,False,False
A506,MONTES CLAROS,MG,Sudeste,16,2004.0,2025.0,10,True,True,True,False
A507,UBERLANDIA,MG,Sudeste,18,2007.0,2025.0,17,True,True,True,True
A508,ALMENARA,MG,Sudeste,13,2004.0,2025.0,5,True,False,False,False
A509,MONTE VERDE,MG,Sudeste,18,2007.0,2025.0,10,True,True,True,False
A510,VICOSA,MG,Sudeste,16,2008.0,2025.0,11,True,True,True,False
A511,TIMOTEO,MG,Sudeste,11,2007.0,2025.0,5,True,False,False,False
A512,ITUIUTABA,MG,Sudeste,12,2008.0,2025.0,4,True,False,False,False
A513,OURO BRANCO,MG,Sudeste,15,2007.0,2025.0,12,True,True,True,False
A514,SAO JOAO DEL REI,MG,Sudeste,0,,,0,False,False,False,False
A515,VARGINHA,MG,Sudeste,14,2007.0,2024.0,9,True,False,False,False
A516,PASSOS,MG,Sudeste,14,2007.0,2025.0,5,True,False,False,False
A517,MURIAE,MG,Sudeste,11,2007.0,2023.0,4,True,False,False,False
A518,JUIZ DE FORA,MG,Sudeste,13,2008.0,2024.0,7,True,False,False,False
A519,CAMPINA VERDE,MG,Sudeste,12,2007.0,2025.0,3,True,False,False,False
A520,CONCEICAO DAS ALAGOAS,MG,Sudeste,14,2008.0,2025.0,6,True,False,False,False
A521,PAMPULHA,MG,Sudeste,18,2007.0,2025.0,17,True,True,True,True
A522,SERRA DOS AIMORES,MG,Sudeste,12,2007.0,2025.0,4,True,False,False,False
A523,PATROCINIO,MG,Sudeste,12,2008.0,2023.0,8,True,False,False,False
A524,FORMIGA,MG,Sudeste,13,2007.0,2025.0,8,True,False,False,False
A525,SACRAMENTO,MG,Sudeste,15,2007.0,2025.0,7,True,True,False,False
A526,MONTALVANIA,MG,Sudeste,0,,,0,False,False,False,False
A527,TEOFILO OTONI,MG,Sudeste,10,2007.0,2023.0,4,True,False,False,False
A528,TRES MARIAS,MG,Sudeste,15,2007.0,2025.0,6,True,True,False,False
A529,PASSA QUATRO,MG,Sudeste,11,2009.0,2023.0,7,True,False,False,False
A530,CALDAS,MG,Sudeste,15,2007.0,2024.0,7,True,True,False,False
A531,MARIA DA FE,MG,Sudeste,18,2008.0,2025.0,18,True,True,True,True
A532,GOVERNADOR VALADARES,MG,Sudeste,11,2008.0,2025.0,5,True,False,False,False
A533,GUANHAES,MG,Sudeste,16,2008.0,2024.0,11,True,True,True,False
A534,AIMORES,MG,Sudeste,10,2008.0,2024.0,5,True,False,False,False
A535,FLORESTAL,MG,Sudeste,14,2009.0,2025.0,9,True,False,False,False
A536,DORES DO INDAIA,MG,Sudeste,12,2008.0,2025.0,3,True,False,False,False
A537,DIAMANTINA,MG,Sudeste,14,2008.0,2025.0,6,True,False,False,False
A538,CURVELO,MG,Sudeste,15,2007.0,2025.0,5,True,True,False,False
A539,MOCAMBINHO,MG,Sudeste,15,2008.0,2025.0,10,True,True,True,False
A540,MANTENA,MG,Sudeste,14,2008.0,2025.0,6,True,False,False,False
A541,CAPELINHA,MG,Sudeste,13,2008.0,2025.0,8,True,False,False,False
A542,UNAI,MG,Sudeste,12,2008.0,2025.0,4,True,False,False,False
A543,ESPINOSA,MG,Sudeste,8,2008.0,2023.0,5,False,False,False,False
A544,BURITIS,MG,Sudeste,9,2008.0,2025.0,3,False,False,False,False
A545,PIRAPORA,MG,Sudeste,9,2008.0,2025.0,2,False,False,False,False
A546,GUARDA-MOR,MG,Sudeste,11,2008.0,2024.0,7,True,False,False,False
A547,SAO ROMAO,MG,Sudeste,10,2008.0,2023.0,3,True,False,False,False
A548,CHAPADA GAUCHA,MG,Sudeste,10,2008.0,2023.0,2,True,False,False,False
A549,AGUAS VERMELHAS,MG,Sudeste,8,2008.0,2025.0,3,False,False,False,False
A550,ITAOBIM,MG,Sudeste,15,2008.0,2024.0,9,True,True,False,False
A551,RIO PARDO DE MINAS,MG,Sudeste,13,2008.0,2025.0,4,True,False,False,False
A552,SALINAS,MG,Sudeste,12,2008.0,2025.0,5,True,False,False,False
A553,JOAO PINHEIRO,MG,Sudeste,9,2008.0,2023.0,4,False,False,False,False
A554,CARATINGA,MG,Sudeste,15,2008.0,2025.0,5,True,True,False,False
A555,IBIRITE (ROLA MOCA),MG,Sudeste,15,2009.0,2024.0,14,True,True,True,False
A556,MANHUACU,MG,Sudeste,7,2012.0,2023.0,3,False,False,False,False
A557,CORONEL PACHECO,MG,Sudeste,10,2013.0,2025.0,4,True,False,False,False
A559,JANUARIA,MG,Sudeste,5,2018.0,2025.0,2,False,False,False,False
A560,POMPEU,MG,Sudeste,3,2022.0,2025.0,2,False,False,False,False
A561,SAO SEBASTIAO DO PARAISO,MG,Sudeste,6,2016.0,2024.0,3,False,False,False,False
A562,PATOS DE MINAS,MG,Sudeste,4,2018.0,2025.0,2,False,False,False,False
A563,JANAUBA,MG,Sudeste,6,2017.0,2025.0,4,False,False,False,False
A564,DIVINOPOLIS,MG,Sudeste,7,2018.0,2024.0,7,False,False,False,False
A565,BAMBUI,MG,Sudeste,6,2017.0,2025.0,2,False,False,False,False
A566,ARACUAI,MG,Sudeste,0,,,0,False,False,False,False
A567,MACHADO,MG,Sudeste,4,2019.0,2023.0,3,False,False,False,False
A568,UBERABA,MG,Sudeste,6,2018.0,2025.0,3,False,False,False,False
