ano,codigo,datetime_utc,grid_index,temp_inmet_c,temp_era5_c,erro_c,erro_abs,ranking
2002,A101,2002-03-11 18:00:00,5852,25.1,30.668116,5.5681157,5.568115711212158,9
2002,A101,2002-03-20 21:00:00,5852,32.6,27.113672,-5.4863276,5.486327648162842,10
2002,A101,2002-09-29 13:00:00,5852,23.5,28.98379,5.4837894,5.483789443969727,11
2002,A101,2002-05-05 19:00:00,5852,23.4,28.799707,5.3997073,5.399707317352295,12
2002,A101,2002-03-24 18:00:00,5852,31.0,25.637842,-5.362158,5.362157821655273,13
2002,A101,2002-01-04 20:00:00,5852,31.5,26.162745,-5.3372555,5.337255477905273,14
2002,A101,2002-09-24 21:00:00,5852,33.3,27.979395,-5.3206053,5.320605278015137,15
2002,A101,2002-03-23 18:00:00,5852,31.6,26.282862,-5.317138,5.317138195037842,16
2002,A101,2002-03-20 22:00:00,5852,32.1,26.785059,-5.314941,5.314940929412842,17
2002,A101,2002-08-19 19:00:00,5852,32.5,27.196222,-5.3037777,5.303777694702148,18
2002,A101,2002-09-11 20:00:00,5852,34.0,28.70083,-5.2991695,5.299169540405273,19
2002,A101,2002-09-24 20:00:00,5852,34.2,28.962793,-5.2372065,5.23720645904541,20
2002,A402,2002-07-09 08:00:00,11869,14.3,22.28396,7.98396,7.983960151672363,1
2002,A402,2002-07-09 07:00:00,11869,15.0,22.966196,7.966196,7.966196060180664,2
2002,A402,2002-04-08 21:00:00,11869,33.4,26.102442,-7.2975583,7.297558307647705,3
2002,A402,2002-02-23 07:00:00,11869,18.1,24.927637,6.827637,6.827637195587158,4
2002,A402,2002-02-23 08:00:00,11869,17.8,24.596338,6.796338,6.796338081359863,5
2002,A402,2002-04-10 15:00:00,11869,32.0,25.492579,-6.5074215,6.507421493530273,6
2002,A402,2002-06-05 08:00:00,11869,15.6,22.028757,6.428757,6.428757190704346,7
2002,A402,2002-12-09 16:00:00,11869,29.8,23.410791,-6.389209,6.389208793640137,8
2002,A402,2002-02-23 06:00:00,11869,18.6,24.969141,6.369141,6.369141101837158,9
2002,A402,2002-06-05 09:00:00,11869,15.0,21.359674,6.3596745,6.359674453735352,10
2002,A402,2002-02-23 05:00:00,11869,19.1,25.449366,6.3493657,6.349365711212158,11
2002,A402,2002-12-09 15:00:00,11869,28.9,22.679102,-6.220898,6.220898151397705,12
2002,A402,2002-06-05 07:00:00,11869,16.1,22.299997,6.1999974,6.199997425079346,13
2002,A402,2002-07-08 09:00:00,11869,13.4,19.594736,6.194736,6.194736003875732,14
2002,A402,2002-02-27 03:00:00,11869,19.9,26.037256,6.137256,6.137256145477295,15
2002,A402,2002-04-10 16:00:00,11869,32.5,26.386866,-6.1131344,6.113134384155273,16
2002,A402,2002-06-06 00:00:00,11869,20.4,26.456797,6.0567966,6.056796550750732,17
2002,A402,2002-03-18 21:00:00,11869,33.3,27.286036,-6.0139647,6.013964653015137,18
2002,A402,2002-02-24 03:00:00,11869,20.5,26.47793,5.97793,5.977930068969727,19
2002,A402,2002-02-23 04:00:00,11869,19.9,25.826075,5.9260745,5.926074504852295,20
2002,A603,2002-11-30 04:00:00,18477,32.8,22.821924,-9.978076,9.978075981140137,1
2002,A603,2002-11-30 06:00:00,18477,32.2,22.25088,-9.9491205,9.94912052154541,2
2002,A603,2002-11-30 05:00:00,18477,32.4,22.46963,-9.93037,9.930370330810547,3
2002,A603,2002-11-30 03:00:00,18477,32.9,23.268702,-9.631298,9.631298065185547,4
2002,A603,2002-11-30 07:00:00,18477,31.9,22.33584,-9.564159,9.564159393310547,5
2002,A603,2002-11-10 08:00:00,18477,26.5,16.948145,-9.551855,9.551855087280273,6
2002,A603,2002-11-10 07:00:00,18477,26.5,17.079935,-9.420065,9.420064926147461,7
2002,A603,2002-11-10 06:00:00,18477,26.2,16.938517,-9.261483,9.261483192443848,8
2002,A603,2002-11-30 08:00:00,18477,31.5,22.28213,-9.217871,9.217870712280273,9
2002,A603,2002-11-30 02:00:00,18477,33.0,23.985254,-9.014746,9.014745712280273,10
2002,A603,2002-11-25 20:00:00,18477,35.6,26.65835,-8.94165,8.941650390625,11
2002,A603,2002-11-10 09:00:00,18477,26.5,17.562891,-8.937109,8.937108993530273,12
2002,A603,2002-11-30 09:00:00,18477,31.4,22.62417,-8.775829,8.775829315185547,13
2002,A603,2002-11-25 21:00:00,18477,34.7,26.011133,-8.688867,8.68886661529541,14
2002,A603,2002-11-30 01:00:00,18477,33.0,24.533594,-8.466406,8.466405868530273,15
2002,A603,2002-11-17 18:00:00,18477,34.5,26.05337,-8.4466305,8.446630477905273,16
2002,A603,2002-11-26 05:00:00,18477,31.2,22.942286,-8.257714,8.25771427154541,17
2002,A603,2002-11-27 08:00:00,18477,30.8,22.54336,-8.25664,8.256640434265137,18
2002,A603,2002-11-26 04:00:00,18477,31.3,23.127832,-8.172168,8.172167778015137,19
2002,A603,2002-11-26 07:00:00,18477,31.1,22.9313,-8.168701,8.168701171875,20
2002,A604,2002-12-17 21:00:00,17838,32.9,27.122217,-5.777783,5.777782917022705,1
2002,A604,2002-12-26 16:00:00,17838,28.1,22.530176,-5.5698237,5.569823741912842,2
2002,A604,2002-12-25 19:00:00,17838,34.0,28.492823,-5.5071774,5.507177352905273,3
2002,A604,2002-12-21 19:00:00,17838,33.1,27.652979,-5.447021,5.447021007537842,4
2002,A604,2002-12-25 20:00:00,17838,33.1,27.653223,-5.446777,5.446776866912842,5
2002,A604,2002-12-26 15:00:00,17838,27.7,22.36001,-5.3399897,5.33998966217041,6
2002,A604,2002-12-21 20:00:00,17838,31.4,26.078272,-5.321728,5.321728229522705,7
2002,A604,2002-12-28 14:00:00,17838,29.1,23.812647,-5.287353,5.287353038787842,8
2002,A604,2002-12-25 21:00:00,17838,31.9,26.660303,-5.239697,5.239696979522705,9
2002,A604,2002-12-26 17:00:00,17838,28.1,22.875391,-5.224609,5.224608898162842,10
2002,A604,2002-12-13 15:00:00,17838,23.4,28.335352,4.935352,4.935351848602295,11
2002,A604,2002-12-13 16:00:00,17838,23.5,28.429834,4.9298344,4.929834365844727,12
2002,A604,2002-12-26 18:00:00,17838,27.8,22.896631,-4.903369,4.903368949890137,13
2002,A604,2002-12-26 14:00:00,17838,27.2,22.35879,-4.8412104,4.84121036529541,14
2002,A604,2002-12-18 19:00:00,17838,31.0,26.230127,-4.7698727,4.769872665405273,15
2002,A604,2002-12-22 17:00:00,17838,31.6,26.877588,-4.7224116,4.722411632537842,16
2002,A604,2002-12-18 18:00:00,17838,31.3,26.70083,-4.5991697,4.599169731140137,17
2002,A604,2002-12-26 19:00:00,17838,27.9,23.350733,-4.5492673,4.549267292022705,18
2002,A604,2002-12-27 19:00:00,17838,29.8,25.25332,-4.5466795,4.546679496765137,19
2002,A604,2002-12-17 22:00:00,17838,29.8,25.30166,-4.4983397,4.498339653015137,20
2002,A705,2002-05-20 16:00:00,18293,18.5,29.414743,10.914743,10.914743423461914,1
2002,A705,2002-08-29 16:00:00,18293,18.8,29.030909,10.230908,10.230908393859863,2
2002,A705,2002-08-29 17:00:00,18293,18.7,28.92837,10.22837,10.22836971282959,3
2002,A705,2002-08-29 18:00:00,18293,17.5,27.641016,10.141016,10.141016006469727,4
2002,A705,2002-12-23 17:00:00,18293,21.6,31.70962,10.109619,10.109619140625,5
2002,A705,2002-05-16 17:00:00,18293,20.2,29.99917,9.7991705,9.79917049407959,6
2002,A705,2002-05-16 18:00:00,18293,20.5,30.102686,9.602686,9.602685928344727,7
2002,A705,2002-05-20 17:00:00,18293,20.7,29.911463,9.211463,9.21146297454834,8
2002,A705,2002-12-23 18:00:00,18293,21.3,30.491114,9.191113,9.191113471984863,9
2002,A705,2002-08-29 19:00:00,18293,17.5,25.788233,8.288233,8.288232803344727,10
2002,A705,2002-11-16 19:00:00,18293,21.2,29.233545,8.0335455,8.03354549407959,11
2002,A705,2002-08-29 20:00:00,18293,17.2,25.205957,8.005958,8.00595760345459,12
2002,A705,2002-05-20 18:00:00,18293,22.1,30.022562,7.922562,7.922562122344971,13
2002,A705,2002-05-16 16:00:00,18293,21.8,29.71206,7.9120607,7.912060737609863,14
2002,A705,2002-05-20 15:00:00,18293,20.5,28.388773,7.888773,7.888772964477539,15
2002,A705,2002-05-18 23:00:00,18293,19.4,27.210611,7.8106112,7.810611248016357,16
