rede,descricao_rede,codigo,variavel,descricao_variavel,n_anos,primeiro_ano,ultimo_ano,amplitude_anos,anos_faltantes_na_amplitude,valor_min_c,valor_mediano_c,valor_medio_c,valor_max_c,sen_slope_c_ano,sen_slope_c_decada,mk_s,mk_var_s,mk_z,mk_tau,mk_p,rho1_anos_consecutivos,n_pares_rho1,estacao,uf,regiao,mk_p_fdr,significativo_p05,significativo_fdr05,tendencia_mk_p05,tendencia_mk_fdr05,autocorrelacao_abs_ge_03
principal_15a,>=15 anos válidos,A550,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2008,2024,17,2,-5.115039825439453,-3.553516387939453,-3.61934076944987,-2.8028831481933594,-0.011560880220853366,-0.11560880220853366,-9.0,408.3333333333333,-0.39589732744431483,-0.08571428571428572,0.6921807727218765,-0.1381371310316736,13,ITAOBIM,MG,Sudeste,0.8899467077852699,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A554,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2008,2025,18,3,-4.151123046875,-2.991016387939453,-2.713702646891276,-0.9312515258789062,-0.06148052215576172,-0.6148052215576172,-19.0,408.3333333333333,-0.8907689867497083,-0.18095238095238095,0.3730531162514527,-0.18652688306975793,11,CARATINGA,MG,Sudeste,0.6456688550505911,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A555,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2009,2024,16,1,-2.6859397888183594,-0.7698249816894531,-0.44472071329752605,1.9144515991210938,0.09155893325805664,0.9155893325805664,41.0,408.3333333333333,1.979486637221574,0.3904761904761905,0.047761242675103704,-0.5104715215858261,13,IBIRITE (ROLA MOCA),MG,Sudeste,0.264357963074938,True,False,crescente,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A601,delta_tmax,Diferença das máximas anuais ERA5 - INMET,19,2003,2025,23,4,-4.888332366943359,-3.368896484375,-3.401504717375103,-1.73193359375,-0.0096435546875,-0.096435546875,-5.0,817.0,-0.13994228570826392,-0.029239766081871343,0.8887055908352302,-0.08027406123153306,15,ECOLOGIA AGRICOLA,RJ,Sudeste,0.9754085753069599,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A607,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-2.9154319763183594,0.2620582580566406,0.09711786905924479,1.4160614013671875,0.10490937666459517,1.0490937666459517,51.0,408.3333333333333,2.4743582965269675,0.4857142857142857,0.013347575926843172,0.7065960006021251,11,CAMPOS,RJ,Sudeste,0.17116127753616073,True,False,crescente,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A616,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2007,2025,19,3,-7.19218635559082,-5.892187118530273,-5.858910799026489,-4.503271102905273,0.000900109608968099,0.00900109608968099,0.0,493.3333333333333,0.0,0.0,1.0,-0.123276009627214,12,SAO MATEUS,ES,Sudeste,1.0,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A617,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2025,19,4,-7.021240234375,-5.892971038818359,-5.781091562906901,-4.149951934814453,0.06965351104736328,0.6965351104736328,37.0,408.3333333333333,1.7815379734994166,0.3523809523809524,0.07482460710308471,0.32558516965636924,10,ALEGRE,ES,Sudeste,0.30610066542171016,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A701,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2007,2025,19,1,-4.503810882568359,-2.4025402069091797,-2.1190467410617404,0.6227531433105469,-0.033397674560546875,-0.33397674560546875,-19.0,697.0,-0.6817986171707132,-0.12418300653594772,0.49536629880308886,-0.1375887209174194,16,SAO PAULO - MIRANTE,SP,Sudeste,0.7961244087906785,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A703,delta_tmax,Diferença das máximas anuais ERA5 - INMET,18,2002,2025,24,6,-1.3355979919433594,-0.3340587615966797,-0.3516860538058811,0.5530738830566406,0.013502756754557291,0.1350275675455729,9.0,697.0,0.3030216076314281,0.058823529411764705,0.7618733947779847,-0.6749554750365234,14,PONTA PORA,MS,Centro-Oeste,0.9022184938160344,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A707,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2007,2025,19,3,-2.0529327392578125,-0.6242942810058594,-0.6971118450164795,0.768798828125,0.09795236587524414,0.9795236587524414,60.0,493.3333333333333,2.6563284964554144,0.5,0.007899662130493713,0.49603056554536107,12,PRESIDENTE PRUDENTE,SP,Sudeste,0.17116127753616073,True,False,crescente,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A708,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2004,2023,20,5,-1.1714363098144531,-0.7451667785644531,-0.5411699930826823,0.23813247680664062,-0.0048669179280598955,-0.048669179280598954,-5.0,408.3333333333333,-0.19794866372215741,-0.047619047619047616,0.8430852292699837,-0.13889033152862945,11,FRANCA,SP,Sudeste,0.9484708829287317,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A747,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2009,2025,17,1,-2.813037872314453,-1.28369140625,-1.414442539215088,-0.4088401794433594,-0.0049114227294921875,-0.049114227294921875,0.0,493.3333333333333,0.0,0.0,1.0,-0.0688686588515788,14,PRADOPOLIS,SP,Sudeste,1.0,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A801,delta_tmax,Diferença das máximas anuais ERA5 - INMET,19,2007,2025,19,0,-2.810302734375,-1.1215362548828125,-1.1948667827405428,0.6137199401855469,0.05604347815880409,0.5604347815880408,35.0,817.0,1.1895094285202432,0.2046783625730994,0.23423926303398215,0.23270297663520034,18,PORTO ALEGRE,RS,Sul,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A803,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2003,2024,22,7,-3.4951171875,-2.3040542602539062,-2.0163032531738283,0.337646484375,0.05436992645263672,0.5436992645263672,27.0,408.3333333333333,1.286666314194023,0.2571428571428571,0.1982106190388427,-0.376678612520021,10,SANTA MARIA,RS,Sul,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A806,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2008,2023,16,1,-4.606544494628906,-2.762937545776367,-2.797875467936198,-0.07094955444335938,-0.10959482192993164,-1.0959482192993164,-25.0,408.3333333333333,-1.1876919823329444,-0.23809523809523808,0.2349547837033433,-0.07245747769456025,13,FLORIANOPOLIS,SC,Sul,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A809,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2007,2024,18,3,-3.455078125,-2.080371856689453,-1.9569806416829427,-0.6882820129394531,-0.035282135009765625,-0.35282135009765625,-13.0,408.3333333333333,-0.5938459911664722,-0.12380952380952381,0.5526151250628485,-0.05568373869560787,11,URUGUAIANA,RS,Sul,0.8021832460589736,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A839,delta_tmax,Diferença das máximas anuais ERA5 - INMET,16,2007,2024,18,2,-3.4333038330078125,-1.7650413513183594,-1.9028428792953491,-0.18154525756835938,0.04838226636250814,0.4838226636250814,28.0,493.3333333333333,1.2156079560050201,0.23333333333333334,0.22413430196016673,0.11030347171832272,13,PASSO FUNDO,RS,Sul,0.5564718561394973,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A844,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2008,2024,17,2,-3.461423873901367,-2.2824230194091797,-2.250273513793945,-0.23012924194335938,0.016324679056803387,0.16324679056803387,15.0,408.3333333333333,0.6928203230275509,0.14285714285714285,0.48842231662259367,-0.1333704804123376,12,LAGOA VERMELHA,RS,Sul,0.7961244087906785,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A853,delta_tmax,Diferença das máximas anuais ERA5 - INMET,15,2008,2024,17,2,-3.9356460571289062,-1.1397476196289062,-1.5091552734375,0.25307464599609375,0.07839339120047432,0.7839339120047433,47.0,408.3333333333333,2.27640963280481,0.44761904761904764,0.022821503671488098,0.4337219752448809,12,CRUZ ALTA,RS,Sul,0.17116127753616073,True,False,crescente,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A001,tmax_era5,Máxima anual ERA5,20,2003,2025,23,3,30.280908584594727,33.863548278808594,33.78412961959839,35.725486755371094,0.06726310229060625,0.6726310229060626,40.0,950.0,1.2653270848199478,0.21052631578947367,0.20575410127305518,-0.31132840422934166,17,BRASILIA,DF,Centro-Oeste,0.4066525102557865,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A002,tmax_era5,Máxima anual ERA5,18,2006,2024,19,1,34.426170349121094,36.336936950683594,36.23087904188368,38.607810974121094,0.0841796875,0.841796875,39.0,697.0,1.4393526362492834,0.2549019607843137,0.15005063655725911,-0.2606983972201032,16,GOIANIA,GO,Centro-Oeste,0.3553830865829821,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A003,tmax_era5,Máxima anual ERA5,16,2006,2025,20,4,35.114646911621094,36.697898864746094,36.649375915527344,38.369041442871094,0.042510986328125,0.42510986328125,16.0,493.3333333333333,0.6753377533361223,0.13333333333333333,0.4994612031040145,-0.017679982610087578,12,MORRINHOS,GO,Centro-Oeste,0.6243265038800181,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A012,tmax_era5,Máxima anual ERA5,15,2007,2025,19,4,31.752588272094727,34.779685974121094,34.725942611694336,36.221092224121094,0.025065104166666668,0.2506510416666667,7.0,408.3333333333333,0.2969229955832361,0.06666666666666667,0.7665252995235718,-0.19779829391913448,11,LUZIANIA,GO,Centro-Oeste,0.8021776390362961,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A036,tmax_era5,Máxima anual ERA5,18,2008,2025,18,0,31.220849990844727,35.164451599121094,34.73207865820991,36.947166442871094,0.05837673611111111,0.5837673611111112,29.0,697.0,1.0605756267099984,0.1895424836601307,0.28888280402716393,-0.054045759368942695,17,CRISTALINA,GO,Centro-Oeste,0.4482664200421509,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A045,tmax_era5,Máxima anual ERA5,17,2009,2025,17,0,31.252832412719727,34.144432067871094,33.98128879771513,35.892478942871094,0.11142985026041666,1.1142985026041665,36.0,589.3333333333334,1.4417419705003605,0.2647058823529412,0.14937517875498973,-0.19722244637862707,16,AGUAS EMENDADAS,DF,Centro-Oeste,0.3553830865829821,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A101,tmax_era5,Máxima anual ERA5,16,2007,2025,19,3,32.609275817871094,36.314109802246094,36.059410095214844,38.547752380371094,0.16987173897879465,1.6987173897879466,60.0,493.3333333333333,2.6563284964554144,0.5,0.007899662130493713,0.24097044134770151,14,MANAUS,AM,Norte,0.08887119896805427,True,False,crescente,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A303,tmax_era5,Máxima anual ERA5,15,2004,2025,22,7,30.484277725219727,31.849512100219727,31.97410430908203,33.772117614746094,0.032063802083333336,0.32063802083333337,19.0,408.3333333333333,0.8907689867497083,0.18095238095238095,0.3730531162514527,-0.39028870735253374,10,MACEIO,AL,Nordeste,0.5087087948883445,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A310,tmax_era5,Máxima anual ERA5,15,2005,2024,20,5,30.831933975219727,31.957178115844727,31.848795064290364,32.813621520996094,0.010367838541666667,0.10367838541666667,13.0,408.3333333333333,0.5938459911664722,0.12380952380952381,0.5526151250628485,0.36030835616591533,10,AREIA,PB,Nordeste,0.6442510492799831,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A401,tmax_era5,Máxima anual ERA5,15,2004,2025,22,7,28.597558975219727,30.198389053344727,30.14998410542806,31.196680068969727,0.019566127232142856,0.19566127232142855,9.0,408.3333333333333,0.39589732744431483,0.08571428571428572,0.6921807727218765,-0.33677903896010386,11,SALVADOR,BA,Nordeste,0.7416222564877248,False,False,sem_tendencia_significativa,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A408,tmax_era5,Máxima anual ERA5,16,2004,2025,22,6,35.051658630371094,37.558372497558594,37.28295135498047,39.471336364746094,0.02535400390625,0.2535400390625,6.0,493.3333333333333,0.2251125844453741,0.05,0.8218916912511594,-0.21938975774859484,11,ITABERABA,BA,Nordeste,0.8405710478705039,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A502,tmax_era5,Máxima anual ERA5,15,2009,2025,17,2,29.374658584594727,30.758691787719727,31.146207555135092,33.525047302246094,0.10504150390625,1.0504150390625,33.0,408.3333333333333,1.5835893097772593,0.3142857142857143,0.11328720822235328,0.2547670290795258,12,BARBACENA,MG,Sudeste,0.32364744699706693,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A505,tmax_era5,Máxima anual ERA5,17,2003,2024,22,5,30.789209365844727,33.899314880371094,33.76970537971048,36.587791442871094,0.1596294545872326,1.5962945458723259,68.0,589.3333333333334,2.759906057814976,0.5,0.005781798478456614,0.6159362910642361,13,ARAXA,MG,Sudeste,0.0867269771768492,True,False,crescente,sem_tendencia_significativa,True
principal_15a,>=15 anos válidos,A506,tmax_era5,Máxima anual ERA5,16,2004,2025,22,6,33.886375427246094,35.826683044433594,35.738792419433594,37.821678161621094,0.0369720458984375,0.369720458984375,14.0,493.3333333333333,0.5852927195579727,0.11666666666666667,0.5583509093759853,-0.2759645261536352,12,MONTES CLAROS,MG,Sudeste,0.6442510492799831,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A507,tmax_era5,Máxima anual ERA5,18,2007,2025,19,1,32.295555114746094,35.047752380371094,35.05414072672526,38.494041442871094,0.11015973772321429,1.1015973772321428,51.0,697.0,1.8938850476964255,0.3333333333333333,0.05824026959156134,0.17243134922714606,16,UBERLANDIA,MG,Sudeste,0.23825564832911458,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A509,tmax_era5,Máxima anual ERA5,18,2007,2025,19,1,28.181055068969727,29.858789443969727,30.058550516764324,32.261131286621094,0.109832763671875,1.09832763671875,51.0,697.0,1.8938850476964255,0.3333333333333333,0.05824026959156134,0.24395164297938263,16,MONTE VERDE,MG,Sudeste,0.23825564832911458,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
principal_15a,>=15 anos válidos,A510,tmax_era5,Máxima anual ERA5,16,2008,2025,18,2,30.431055068969727,32.527732849121094,32.86463212966919,35.391502380371094,0.12365964253743489,1.2365964253743489,38.0,493.3333333333333,1.6658331248957683,0.31666666666666665,0.0957466564738153,0.05903376676239944,13,VICOSA,MG,Sudeste,0.32364744699706693,False,False,sem_tendencia_significativa,sem_tendencia_significativa,False
