codigo,estacao,uf,regiao,n_anos_consecutivos,ano_inicio_segmento,ano_fim_segmento,rede_consecutiva_15a,rede_consecutiva_10a
A450,JEREMOABO,BA,Nordeste,4,2018,2021,False,False
A451,ITABAIANA,SE,Nordeste,2,2018,2019,False,False
A452,FORMOSO DO RIO PRETO,BA,Nordeste,2,2018,2019,False,False
A453,NOSSA SENHORA DA GLORIA,SE,Nordeste,1,2018,2018,False,False
A454,MACAUBAS,BA,Nordeste,1,2018,2018,False,False
A456,SALVADOR (RADIO FAROL),BA,Nordeste,2,2024,2025,False,False
A458,RIBEIRA DO AMPARO,BA,Nordeste,5,2021,2025,False,False
A502,BARBACENA,MG,Sudeste,10,2013,2022,False,True
A505,ARAXA,MG,Sudeste,8,2014,2021,False,False
A506,MONTES CLAROS,MG,Sudeste,10,2016,2025,False,True
A507,UBERLANDIA,MG,Sudeste,17,2009,2025,True,True
A508,ALMENARA,MG,Sudeste,5,2021,2025,False,False
A509,MONTE VERDE,MG,Sudeste,10,2016,2025,False,True
A510,VICOSA,MG,Sudeste,11,2011,2021,False,True
A511,TIMOTEO,MG,Sudeste,5,2019,2023,False,False
A512,ITUIUTABA,MG,Sudeste,4,2008,2011,False,False
A513,OURO BRANCO,MG,Sudeste,12,2010,2021,False,True
A515,VARGINHA,MG,Sudeste,9,2007,2015,False,False
A516,PASSOS,MG,Sudeste,5,2021,2025,False,False
A517,MURIAE,MG,Sudeste,4,2007,2010,False,False
A518,JUIZ DE FORA,MG,Sudeste,7,2012,2018,False,False
A519,CAMPINA VERDE,MG,Sudeste,3,2007,2009,False,False
A520,CONCEICAO DAS ALAGOAS,MG,Sudeste,6,2018,2023,False,False
A521,PAMPULHA,MG,Sudeste,17,2009,2025,True,True
A522,SERRA DOS AIMORES,MG,Sudeste,4,2022,2025,False,False
A523,PATROCINIO,MG,Sudeste,8,2008,2015,False,False
A524,FORMIGA,MG,Sudeste,8,2007,2014,False,False
A525,SACRAMENTO,MG,Sudeste,7,2007,2013,False,False
A527,TEOFILO OTONI,MG,Sudeste,4,2007,2010,False,False
A528,TRES MARIAS,MG,Sudeste,6,2018,2023,False,False
A529,PASSA QUATRO,MG,Sudeste,7,2017,2023,False,False
A530,CALDAS,MG,Sudeste,7,2009,2015,False,False
A531,MARIA DA FE,MG,Sudeste,18,2008,2025,True,True
A532,GOVERNADOR VALADARES,MG,Sudeste,5,2008,2012,False,False
A533,GUANHAES,MG,Sudeste,11,2008,2018,False,True
A534,AIMORES,MG,Sudeste,5,2013,2017,False,False
A535,FLORESTAL,MG,Sudeste,9,2009,2017,False,False
A536,DORES DO INDAIA,MG,Sudeste,3,2008,2010,False,False
A537,DIAMANTINA,MG,Sudeste,6,2012,2017,False,False
A538,CURVELO,MG,Sudeste,5,2007,2011,False,False
A539,MOCAMBINHO,MG,Sudeste,10,2016,2025,False,True
A540,MANTENA,MG,Sudeste,6,2020,2025,False,False
A541,CAPELINHA,MG,Sudeste,8,2008,2015,False,False
A542,UNAI,MG,Sudeste,4,2016,2019,False,False
A543,ESPINOSA,MG,Sudeste,5,2008,2012,False,False
A544,BURITIS,MG,Sudeste,3,2023,2025,False,False
A545,PIRAPORA,MG,Sudeste,2,2008,2009,False,False
A546,GUARDA-MOR,MG,Sudeste,7,2008,2014,False,False
A547,SAO ROMAO,MG,Sudeste,3,2017,2019,False,False
A548,CHAPADA GAUCHA,MG,Sudeste,2,2008,2009,False,False
A549,AGUAS VERMELHAS,MG,Sudeste,3,2008,2010,False,False
A550,ITAOBIM,MG,Sudeste,9,2016,2024,False,False
A551,RIO PARDO DE MINAS,MG,Sudeste,4,2013,2016,False,False
A552,SALINAS,MG,Sudeste,5,2015,2019,False,False
A553,JOAO PINHEIRO,MG,Sudeste,4,2012,2015,False,False
A554,CARATINGA,MG,Sudeste,5,2008,2012,False,False
A555,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,False,True
A556,MANHUACU,MG,Sudeste,3,2014,2016,False,False
A557,CORONEL PACHECO,MG,Sudeste,4,2013,2016,False,False
A559,JANUARIA,MG,Sudeste,2,2024,2025,False,False
A560,POMPEU,MG,Sudeste,2,2024,2025,False,False
A561,SAO SEBASTIAO DO PARAISO,MG,Sudeste,3,2018,2020,False,False
A562,PATOS DE MINAS,MG,Sudeste,2,2022,2023,False,False
A563,NOVA PORTEIRINHA (JANAUBA),MG,Sudeste,4,2022,2025,False,False
A564,DIVINOPOLIS,MG,Sudeste,7,2018,2024,False,False
A565,BAMBUI,MG,Sudeste,2,2017,2018,False,False
A567,MACHADO,MG,Sudeste,3,2019,2021,False,False
A568,UBERABA,MG,Sudeste,3,2018,2020,False,False
A569,SETE LAGOAS,MG,Sudeste,2,2018,2019,False,False
A570,OLIVEIRA,MG,Sudeste,2,2018,2019,False,False
A571,PARACATU,MG,Sudeste,2,2021,2022,False,False
A601,ECOLOGIA AGRICOLA,RJ,Sudeste,8,2011,2018,False,False
A602,MARAMBAIA,RJ,Sudeste,5,2015,2019,False,False
A603,XEREM,RJ,Sudeste,9,2015,2023,False,False
A604,CAMBUCI,RJ,Sudeste,4,2016,2019,False,False
A606,ARRAIAL DO CABO,RJ,Sudeste,4,2013,2016,False,False
A607,CAMPOS,RJ,Sudeste,8,2018,2025,False,False
A608,MACAE,RJ,Sudeste,3,2014,2016,False,False
A609,RESENDE,RJ,Sudeste,5,2007,2011,False,False
A610,PICO DO COUTO,RJ,Sudeste,4,2011,2014,False,False
A611,VALENCA,RJ,Sudeste,4,2007,2010,False,False
A612,VITORIA,ES,Sudeste,8,2007,2014,False,False
A613,SANTA TERESA,ES,Sudeste,2,2008,2009,False,False
A614,LINHARES,ES,Sudeste,6,2020,2025,False,False
A615,ALFREDO CHAVES,ES,Sudeste,7,2007,2013,False,False
A616,SAO MATEUS,ES,Sudeste,8,2018,2025,False,False
A617,ALEGRE,ES,Sudeste,5,2021,2025,False,False
A618,TERESOPOLIS,RJ,Sudeste,5,2017,2021,False,False
A619,PARATI,RJ,Sudeste,4,2017,2020,False,False
A620,SAO TOME,RJ,Sudeste,5,2009,2013,False,False
A621,VILA MILITAR,RJ,Sudeste,7,2013,2019,False,False
A622,PRES. KENNEDY,ES,Sudeste,2,2009,2010,False,False
A623,NOVA VENECIA,ES,Sudeste,5,2012,2016,False,False
A624,NOVA FRIBURGO,RJ,Sudeste,7,2019,2025,False,False
A625,TRES RIOS,RJ,Sudeste,4,2017,2020,False,False
A626,RIO CLARO,RJ,Sudeste,2,2018,2019,False,False
A627,NITEROI,RJ,Sudeste,2,2019,2020,False,False
A628,ANGRA DOS REIS,RJ,Sudeste,2,2018,2019,False,False
A629,CARMO,RJ,Sudeste,5,2019,2023,False,False
A630,SANTA MARIA MADALENA,RJ,Sudeste,2,2019,2020,False,False
A631,ECOPORANGA,ES,Sudeste,2,2018,2019,False,False
A632,MARILANDIA,ES,Sudeste,3,2018,2020,False,False
A634,VILA VELHA,ES,Sudeste,2,2022,2023,False,False
A635,ITATIAIA,RJ,Sudeste,3,2019,2021,False,False
A636,RIO DE JANEIRO - JACAREPAGUA,RJ,Sudeste,4,2021,2024,False,False
A637,Paty do Alferes - Avelar,RJ,Sudeste,3,2023,2025,False,False
A652,FORTE DE COPACABANA,RJ,Sudeste,9,2011,2019,False,False
A657,AFONSO CLAUDIO,ES,Sudeste,4,2012,2015,False,False
A659,SILVA JARDIM,RJ,Sudeste,7,2019,2025,False,False
A667,SAQUAREMA - SAMPAIO CORREIA,RJ,Sudeste,3,2021,2023,False,False
A701,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,False,True
A703,PONTA PORA,MS,Centro-Oeste,10,2012,2021,False,True
A704,TRES LAGOAS,MS,Centro-Oeste,5,2021,2025,False,False
A705,BAURU,SP,Sudeste,3,2015,2017,False,False
A706,CAMPOS DO JORDAO,SP,Sudeste,6,2010,2015,False,False
A707,PRESIDENTE PRUDENTE,SP,Sudeste,5,2011,2015,False,False
A708,FRANCA,SP,Sudeste,9,2010,2018,False,False
A709,IVINHEMA,MS,Centro-Oeste,2,2012,2013,False,False
A710,PARANAIBA,MS,Centro-Oeste,3,2023,2025,False,False
A711,SAO CARLOS,SP,Sudeste,4,2008,2011,False,False
A714,ITAPEVA,SP,Sudeste,4,2016,2019,False,False
A717,NHUMIRIM,MS,Centro-Oeste,2,2008,2009,False,False
A718,RANCHARIA,SP,Sudeste,4,2007,2010,False,False
A719,AQUIDAUANA,MS,Centro-Oeste,5,2007,2011,False,False
A720,COXIM,MS,Centro-Oeste,8,2007,2014,False,False
A721,DOURADOS,MS,Centro-Oeste,4,2011,2014,False,False
A722,MIRANDA,MS,Centro-Oeste,4,2007,2010,False,False
A723,PORTO MURTINHO,MS,Centro-Oeste,3,2007,2009,False,False
A724,CORUMBA,MS,Centro-Oeste,2,2007,2008,False,False
A725,AVARE,SP,Sudeste,3,2015,2017,False,False
A726,PIRACICABA,SP,Sudeste,4,2007,2010,False,False
A727,LINS,SP,Sudeste,3,2007,2009,False,False
A728,TAUBATE,SP,Sudeste,3,2018,2020,False,False
A729,VOTUPORANGA,SP,Sudeste,4,2007,2010,False,False
A730,CHAPADAO DO SUL,MS,Centro-Oeste,4,2012,2015,False,False
A731,MARACAJU,MS,Centro-Oeste,4,2008,2011,False,False
A732,SAO GABRIEL DO OESTE,MS,Centro-Oeste,3,2011,2013,False,False
A733,JALES,SP,Sudeste,4,2012,2015,False,False
A734,VALPARAISO,SP,Sudeste,3,2011,2013,False,False
A735,JOSE BONIFACIO,SP,Sudeste,4,2011,2014,False,False
A736,ARIRANHA,SP,Sudeste,2,2013,2014,False,False
A738,CASA BRANCA,SP,Sudeste,3,2008,2010,False,False
A739,ITAPIRA,SP,Sudeste,3,2016,2018,False,False
A740,SAO LUIS DO PARAITINGA,SP,Sudeste,4,2008,2011,False,False
A742,CASSILANDIA,MS,Centro-Oeste,4,2012,2015,False,False
A743,RIO BRILHANTE,MS,Centro-Oeste,7,2009,2015,False,False
A746,BARRA DO TURVO,SP,Sudeste,5,2014,2018,False,False
A747,PRADOPOLIS,SP,Sudeste,9,2009,2017,False,False
A748,BARRETOS,SP,Sudeste,7,2011,2017,False,False
A749,JUTI,MS,Centro-Oeste,6,2009,2014,False,False
A750,AMAMBAI,MS,Centro-Oeste,3,2023,2025,False,False
