ano,amostra,area,n_pares,n_estacoes,media_inmet_c_pares,media_era5_c_pares,bias_pares_c,mae_pares_c,rmse_pares_c,correlacao_pares,erro_p05_pares_c,erro_mediana_pares_c,erro_p95_pares_c,n_abs_erro_gt5,n_abs_erro_gt10,pct_abs_erro_gt5,pct_abs_erro_gt10,n_estacoes_equilibradas,n_pares_mediana_estacao,bias_media_estacoes_c,bias_mediana_estacoes_c,mae_media_estacoes_c,mae_mediana_estacoes_c,rmse_equilibrado_estacoes_c,rmse_mediana_estacoes_c,correlacao_mediana_estacoes,n_pares_completa,bias_pares_c_completa,mae_pares_c_completa,rmse_pares_c_completa,correlacao_pares_completa,pares_removidos_qc,delta_bias_qc_c,delta_mae_qc_c,delta_rmse_qc_c,delta_correlacao_qc
2003,principal,Brasil,328190,53,24.049090766566593,23.56818188623499,-0.48090888421062816,1.4834079535213331,1.93779239865068,0.9371495981069237,-3.4177998900413513,-0.5290523767471313,2.699272859096526,5511,88,1.6792102135957827,0.026813735945641244,53,7125.0,-0.398104648697949,-0.49189315883648005,1.4887733689932663,1.4499184248156654,1.9498022995870523,1.8647009843237674,0.9275494694236317,328190,-0.48090888421062816,1.483407953521333,1.9377923986507057,0.9371495981069236,0,0.0,2.220446049250313e-16,-2.5757174171303632e-14,1.1102230246251565e-16
2003,principal,Norte,15985,3,27.166086947310145,26.656480173726063,-0.5096067828993514,1.1832336519849171,1.5450905840607083,0.8898305295647794,-3.0613472938537596,-0.39794883131980896,1.6224699020385742,62,0,0.38786362214576164,0.0,3,6279.0,-0.7365916808733285,-0.39251596346501394,1.3135875316772723,1.2294661700200769,1.6888380811401495,1.5736276274117278,0.8799222396688423,15985,-0.5096067828993514,1.1832336519849171,1.5450905840607108,0.8898305295647772,0,0.0,0.0,-2.4424906541753444e-15,2.220446049250313e-15
2003,principal,Nordeste,111331,17,25.91886446323099,25.434106800672705,-0.48475766656920616,1.200015335075705,1.5385397014223599,0.9300179548860807,-2.8871089220046997,-0.48510703444480896,1.8990482687950134,329,5,0.2955151754677493,0.004491112089175521,17,7423.0,-0.4699357376225426,-0.49189315883648005,1.2106526378855809,1.1191720868797408,1.5482255227717459,1.4004309496761238,0.9364133184131124,111331,-0.48475766656920616,1.2000153350757048,1.538539701422356,0.9300179548860832,0,0.0,2.220446049250313e-16,3.774758283725532e-15,-2.4424906541753444e-15
2003,principal,Centro-Oeste,80132,13,24.640561816916453,24.35578853301624,-0.2847732897083798,1.526918887358818,1.9669918132642688,0.9201792641010027,-3.2642305493354797,-0.38819846510887146,3.1548328876495346,1311,8,1.6360505166475316,0.009983527180152748,13,7202.0,-0.10124940651908733,-0.14454467142984737,1.5266557931695515,1.540716450937294,1.9745117028127583,1.9612592384410727,0.9265988925972621,80132,-0.2847732897083798,1.5269188873588182,1.96699181326427,0.9201792641010057,0,0.0,-2.220446049250313e-16,-1.3322676295501878e-15,-2.9976021664879227e-15
2003,principal,Sudeste,77249,13,22.80322463535362,22.049239265758086,-0.7539853710991642,1.9139493830850538,2.4275571864665806,0.9135323871030008,-4.111308193206787,-0.9462398290634155,3.6055472850799535,2921,62,3.7812787220546547,0.08025993863998239,13,6219.0,-0.5345545022186519,-0.8760301647814134,1.882208807296084,1.6186704150005873,2.4236464957099457,1.9638316299258352,0.937341672079756,77249,-0.7539853710991642,1.9139493830850538,2.427557186466527,0.9135323871029997,0,0.0,0.0,5.3734794391857577e-14,1.1102230246251565e-15
2003,principal,Sul,43493,7,19.24043638979117,18.90358224708696,-0.3368541449123402,1.4742836524061336,1.950146419909644,0.9439927438155628,-3.373026990890503,-0.3768550753593445,2.8695999622344974,888,13,2.041707861035109,0.029889867334973445,7,7125.0,-0.3764875693139255,-0.5584889155256848,1.438270187357594,1.4204573885707055,1.895114478820385,1.8705096625848963,0.9570911700437043,43493,-0.3368541449123402,1.4742836524061336,1.9501464199096543,0.9439927438155644,0,0.0,0.0,-1.021405182655144e-14,-1.6653345369377348e-15
2004,principal,Brasil,332314,55,24.459374565113354,23.859797258550813,-0.5995773088448221,1.4612036349499358,1.9232757019604314,0.9272500665478379,-3.5574409961700435,-0.5926021635532379,2.3344541311264018,5808,81,1.7477446029959616,0.024374537335170955,55,7793.0,-0.5588157678010366,-0.6371609930162765,1.5691909149400443,1.4400847246322586,2.110985012475015,1.8216175294276764,0.9236227934135048,332314,-0.5995773088448222,1.4612036349499355,1.9232757019604207,0.9272500665478345,0,1.1102230246251565e-16,2.220446049250313e-16,1.0658141036401503e-14,3.4416913763379853e-15
2004,principal,Norte,19695,4,26.95500380135212,26.35513320578086,-0.59987060218031,1.2356295046035521,1.5917519675263905,0.8851398728799745,-3.069716382026672,-0.5696773529052734,1.679912531375885,77,0,0.390962173140391,0.0,4,5304.0,-0.6955201224441643,-0.7478922853320418,1.3356511187175797,1.3677375316414362,1.7128316100713175,1.7158994097596558,0.8655500867986108,19695,-0.59987060218031,1.2356295046035521,1.5917519675263907,0.8851398728799761,0,0.0,0.0,-2.220446049250313e-16,-1.5543122344752192e-15
2004,principal,Nordeste,130623,20,25.781382296646676,25.07254115434,-0.7088411441567208,1.3722774953587131,1.853815816693781,0.8961596813134707,-3.620648980140686,-0.6086910367012024,1.8761542916297902,2595,18,1.9866332881651776,0.01378011529363129,20,8246.0,-0.6239569601243851,-0.6733130871808128,1.4415645701337048,1.1832730393797593,2.014476835286803,1.5013421712605606,0.9118037776280115,130623,-0.7088411441567208,1.3722774953587131,1.8538158166937635,0.8961596813134718,0,0.0,0.0,1.7541523789077473e-14,-1.1102230246251565e-15
2004,principal,Centro-Oeste,85006,11,24.910634540057004,24.687333554954325,-0.22330098846239302,1.4927069600135492,1.9346513384628772,0.9203433375062721,-3.2155888080596924,-0.3053462952375412,3.0297475457191467,1359,12,1.598710679246171,0.014116650589370163,11,8486.0,-0.2436131316615273,-0.27526534912438916,1.4922447516892532,1.5072419872223999,1.9345220598908082,1.9785399134582806,0.9269938691838213,85006,-0.22330098846239302,1.4927069600135492,1.93465133846287,0.9203433375062676,0,0.0,0.0,7.105427357601002e-15,4.440892098500626e-15
