rede,codigo,estacao,uf,regiao,mk_p_delta_tmax,mk_p_tmax_era5,mk_p_tmax_inmet,mk_p_fdr_delta_tmax,mk_p_fdr_tmax_era5,mk_p_fdr_tmax_inmet,mk_tau_delta_tmax,mk_tau_tmax_era5,mk_tau_tmax_inmet,n_anos_delta_tmax,n_anos_tmax_era5,n_anos_tmax_inmet,sen_slope_c_ano_delta_tmax,sen_slope_c_ano_tmax_era5,sen_slope_c_ano_tmax_inmet,sen_slope_c_decada_delta_tmax,sen_slope_c_decada_tmax_era5,sen_slope_c_decada_tmax_inmet,significativo_fdr05_delta_tmax,significativo_fdr05_tmax_era5,significativo_fdr05_tmax_inmet,diferenca_sen_era5_menos_inmet_c_decada,mesmo_sinal_sen_inmet_era5,ambos_significativos_fdr
sensibilidade_10a,A416,CORRENTINA,BA,Nordeste,0.8580276569875213,0.4742743507673296,0.5295988084250076,1.0,0.6766314070947236,0.6844338627445093,0.06666666666666667,0.2,0.17777777777777778,10,10,10,0.012470245361328125,0.037890625,0.04999987284342448,0.12470245361328125,0.37890625,0.49999872843424475,False,False,False,-0.12109247843424475,True,False
sensibilidade_10a,A417,ITABAIANINHA,SE,Nordeste,0.8580276569875213,1.0,0.7183477583478872,1.0,1.0,0.8446506609145488,-0.06666666666666667,-0.022222222222222223,0.1111111111111111,10,10,10,-0.043271636962890624,-0.00458984375,0.04999995231628418,-0.43271636962890625,-0.0458984375,0.4999995231628418,False,False,False,-0.5458979606628418,False,False
sensibilidade_10a,A424,IRECE,BA,Nordeste,0.7554968749288828,0.2757578478275093,0.1843509512097483,0.9647390916123593,0.5361947462101079,0.4067124078235684,0.09090909090909091,0.2727272727272727,0.32727272727272727,11,11,11,0.0263519287109375,0.072662353515625,0.09090909090909091,0.263519287109375,0.72662353515625,0.9090909090909092,False,False,False,-0.18246737393465917,True,False
sensibilidade_10a,A425,LENCOIS,BA,Nordeste,0.15240628395674935,0.2831308706623467,1.0,0.574678985797618,0.5361947462101079,1.0,0.37777777777777777,0.28888888888888886,-0.022222222222222223,10,10,10,0.11511463589138454,0.0681847163609096,0.0,1.1511463589138455,0.681847163609096,0.0,False,False,False,0.681847163609096,False,False
sensibilidade_10a,A426,GUANAMBI,BA,Nordeste,0.10740463633025377,0.15240628395674935,0.4189617251593411,0.4890338760569001,0.447801807115027,0.6313930224232324,0.4222222222222222,0.37777777777777777,-0.2222222222222222,10,10,10,0.07542142001065341,0.05723987926136364,-0.03333282470703125,0.7542142001065342,0.5723987926136364,-0.3333282470703125,False,False,False,0.9057270396839489,False,False
sensibilidade_10a,A430,PIATA,BA,Nordeste,0.9128140271840749,0.3244236905215786,0.7418093743125747,1.0,0.5649467500314262,0.8582051455244359,-0.03296703296703297,0.2087912087912088,0.07692307692307693,14,14,14,-0.007951100667317709,0.07087053571428571,0.07142857142857142,-0.07951100667317709,0.7087053571428571,0.7142857142857142,False,False,False,-0.005580357142857095,True,False
sensibilidade_10a,A433,BRUMADO,BA,Nordeste,0.04874492073970655,0.22843980898867525,0.5099494383255552,0.4190563266521239,0.5130645276787292,0.6820573737604301,0.4065934065934066,0.25274725274725274,0.14285714285714285,14,14,14,0.12819290161132812,0.1568603515625,0.0666669209798177,1.2819290161132812,1.568603515625,0.666669209798177,False,False,False,0.901934305826823,True,False
sensibilidade_10a,A434,AMARGOSA,BA,Nordeste,0.03273560958832078,0.5829505577618919,0.5021582515007487,0.36870633957371823,0.7446004583347774,0.6758607913280517,0.46153846153846156,0.1282051282051282,-0.15384615384615385,13,13,13,0.08492764559659091,0.04264137961647727,-0.07846150031456581,0.8492764559659092,0.4264137961647727,-0.784615003145658,False,False,False,1.2110287993104307,False,False
sensibilidade_10a,A437,UNA,BA,Nordeste,0.2831308706623467,0.04909798160926562,0.24303496029452304,0.6807865878847438,0.32834275201196383,0.4643703705627494,0.28888888888888886,0.5111111111111111,0.3111111111111111,10,10,10,0.05913043022155762,0.07466264204545454,0.04999987284342448,0.5913043022155762,0.7466264204545454,0.49999872843424475,False,False,False,0.24662769202030066,True,False
sensibilidade_10a,A441,SERRINHA,BA,Nordeste,0.04909798160926562,0.4742743507673296,0.07133494897796916,0.4190563266521239,0.6766314070947236,0.29366917979502327,-0.5111111111111111,0.2,0.4666666666666667,10,10,10,-0.22643423080444336,0.0692138671875,0.17999954223632814,-2.2643423080444336,0.692138671875,1.7999954223632812,False,False,False,-1.1078567504882812,True,False
sensibilidade_10a,A442,EUCLIDES DA CUNHA,BA,Nordeste,0.04909798160926562,0.8580276569875213,0.2831308706623467,0.4190563266521239,0.922703108519244,0.48087306604557295,-0.5111111111111111,0.06666666666666667,0.28888888888888886,10,10,10,-0.0888671875,0.0033203125,0.09090909090909091,-0.888671875,0.033203125,0.9090909090909092,False,False,False,-0.8758877840909092,True,False
sensibilidade_10a,A502,BARBACENA,MG,Sudeste,0.6921807727218765,0.11328720822235328,0.16481858981177677,0.9647390916123593,0.447801807115027,0.38940767119774217,0.08571428571428572,0.3142857142857143,0.2761904761904762,15,15,15,0.019208908081054688,0.10504150390625,0.09090926430442116,0.19208908081054688,1.0504150390625,0.9090926430442116,False,False,False,0.14132239601828844,True,False
sensibilidade_10a,A505,ARAXA,MG,Sudeste,0.34341948718274173,0.005781798478456614,0.0073166900360846915,0.7676285276712584,0.32834275201196383,0.21967370445535767,0.17647058823529413,0.5,0.4852941176470588,17,17,17,0.02180061340332031,0.1596294545872326,0.15555572509765625,0.21800613403320312,1.5962945458723259,1.5555572509765625,False,False,False,0.04073729489576339,True,False
sensibilidade_10a,A506,MONTES CLAROS,MG,Sudeste,0.26035056965599135,0.5583509093759853,0.2412879445016494,0.6807865878847438,0.7375746580645732,0.4643703705627494,-0.21666666666666667,0.11666666666666667,0.225,16,16,16,-0.02918985154893663,0.0369720458984375,0.06794890379294372,-0.2918985154893663,0.369720458984375,0.6794890379294372,False,False,False,-0.30976857894506216,True,False
