ano,codigo,estacao,uf,regiao,latitude_inmet,longitude_inmet,altitude_inmet_m,latitude_era5,longitude_era5,grid_index,distancia_centro_km,cobertura_temp,n_pares,dias_equivalentes,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,n_abs_erro_gt10,pct_abs_erro_gt10,n_abs_erro_gt20,pct_abs_erro_gt20,temp_inmet_min_c,temp_inmet_max_c,temp_era5_min_c,temp_era5_max_c,observacoes_inmet,pareamento_completo,anos_metricas,bias_mediana_estacao,rmse_mediana_estacao,correlacao_mediana_estacao,desvio_bias_mediana_estacao,desvio_rmse_mediana_estacao,flag_poucos_pares,flag_cobertura_baixa,flag_bias_extremo,flag_rmse_extremo,flag_correlacao_baixa,flag_salto_bias_historico,flag_salto_rmse_historico,n_flags,flag_investigar,motivos_flag,prioridade_diagnostico
2011,A704,TRES LAGOAS,MS,CO,-20.78999999,-51.71222222,313.0,-20.75,-51.75,17316,5.93378592108283,0.6224885844748859,5453,227.20833333333334,26.759471852910995,26.270689582859685,-0.48878226746296716,1.3514886587162622,1.7500308503987652,0.9262621135771468,1.6805409225505605,-7.640429496765137,-3.0606831550598144,-0.5302749872207642,2.1445317268371573,12.943357467651367,12.943357467651367,1.0,0.018338529249954154,0.0,0.0,11.699999809265137,39.79999923706055,13.123071670532227,38.326454162597656,5453,True,25,-0.645250892863401,1.942357769360151,0.9424645469002342,0.15646862540043383,-0.19232691896138587,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23881311786172
2022,A230,SERRA DOS CARAJAS,PA,N,-6.07749999,-50.14222221,707.0,-6.0,-50.25,7823,14.707095602723776,0.3019406392694064,2645,110.20833333333333,23.84635160767063,24.517854570125586,0.6715029638753057,1.1917918775506995,1.5643237123948999,0.8590091962188174,1.413133905985761,-4.206884384155273,-1.4038082599639892,0.5585941076278687,3.1993749618530236,6.569482803344727,6.569482803344727,0.0,0.0,0.0,0.0,18.799999237060547,33.400001525878906,19.852685928344727,33.300193786621094,2645,True,15,0.5601852097313551,1.78957254091217,0.8036854337286833,0.11131775414395062,-0.22524882851727024,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23582667627021
2003,A805,SANTO AUGUSTO,RS,S,-27.85416666,-53.7911111,490.0,-27.75,-53.75,21816,12.26836775593502,0.4915525114155251,4306,179.41666666666666,20.4938225608563,20.096715539347777,-0.39710703285285787,1.4204573885707055,1.8383040532686075,0.9510900819239633,1.7951089525740362,-7.944579601287842,-3.074592113494873,-0.5160152614116669,2.7538211941719055,8.77255916595459,8.77255916595459,0.0,0.0,0.0,0.0,1.0,34.5,0.6114593744277954,31.744043350219727,4306,True,25,-0.2849236779869912,1.7120161175156692,0.961417577470984,-0.11218335486586667,0.12628793575293829,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23541108612146
2015,A844,LAGOA VERMELHA,RS,S,-28.22194443,-51.51222222,842.58,-28.25,-51.5,22147,3.34152175509953,0.7127853881278539,6244,260.1666666666667,19.015663033013617,18.434097005275103,-0.5815660308255501,1.2618776847253623,1.652725526286304,0.9457388767517061,1.5471476890083835,-10.21010684967041,-3.10556001663208,-0.5702632963657379,1.9064676702022538,7.684619426727295,10.21010684967041,2.0,0.032030749519538756,0.0,0.0,1.100000023841858,30.899999618530273,0.296243280172348,29.828271865844727,6244,True,19,-0.5434388885559468,1.7190301151001464,0.9596057258153384,-0.03812714226960334,-0.06630458881384227,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23429155711186
2005,A806,FLORIANOPOLIS,SC,S,-27.6025,-48.61999999,1.8,-27.5,-48.5,21676,16.427331471854878,0.5948630136986301,5211,217.125,20.40074841657268,19.69699632501538,-0.7037520917896468,1.2358082760313795,1.529807594742871,0.9425982606530611,1.3584544178629148,-6.210009574890137,-2.7766185998916626,-0.7793941497802734,1.6347416043281555,4.64475154876709,6.210009574890137,0.0,0.0,0.0,0.0,6.900000095367432,35.099998474121094,9.498270034790039,29.411035537719727,5211,True,23,-0.72267904273393,1.4937425736880499,0.9546290847665936,0.018926950944283205,0.036065021054821234,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23355968653253
2024,A356,SAO LUIS DO QUITUNDE,AL,NE,-9.28749999,-35.56583333,13.69,-9.25,-35.5,9975,8.341737967136474,0.57433970856102,5045,210.20833333333334,26.646124875510058,26.25427721172896,-0.3918476636043858,1.5166538336189193,1.8408731482634755,0.9036014970124785,1.7988637430314713,-6.179003715515137,-3.240399932861328,-0.2893550992012024,2.4508597373962404,5.271484851837158,6.179003715515137,0.0,0.0,0.0,0.0,17.5,37.099998474121094,20.671289443969727,32.226951599121094,5045,True,17,-0.43918476205520574,2.0790556882607927,0.8926717676454359,0.04733709845081996,-0.2381825399973172,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23272081186785
2025,A927,BRASNORTE (NOVO MUNDO),MT,CO,-12.52194443,-58.23138888,426.2,-12.5,-58.25,11977,3.1679427295389764,0.4982876712328767,4365,181.875,27.15713631060798,26.721038534769622,-0.4360977759839785,1.3974586775060975,1.7950505504072038,0.8898993212340037,1.7414706398647057,-7.89125919342041,-3.1615426063537595,-0.48618125915527344,2.403037500381471,8.211816787719727,8.211816787719727,0.0,0.0,0.0,0.0,14.600000381469727,36.0,14.819803237915039,35.104393005371094,4365,True,17,-0.2800632693849548,1.6954891440751616,0.9197492225278581,-0.15603450659902368,0.09956140633204225,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.23114832639118
2024,A051,PIUM,TO,N,-10.47694443,-49.62944443,161.0,-10.5,-49.75,10723,13.428200977983517,0.1177140255009107,1034,43.083333333333336,26.5534815668368,26.767441565109635,0.2139599446536997,1.5323513731990868,2.014716266399468,0.8253682315215746,2.004292361615705,-7.308446884155273,-3.3103457808494565,0.3690921813249588,3.0764407157897935,9.391162872314453,9.391162872314453,0.0,0.0,0.0,0.0,21.299999237060547,36.099998474121094,22.726709365844727,33.014060974121094,1034,True,9,0.9703936370176065,2.7740619576505914,0.8812455342530303,-0.7564336923639068,-0.7593456912511232,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22867621105317
2015,A023,CAIAPONIA,GO,CO,-16.96666666,-51.81749999,737.0,-17.0,-51.75,14901,8.078785300410537,0.7417808219178083,6498,270.75,25.309710679475472,24.933696162117265,-0.37601451744372866,1.4590370454816592,1.8517852573664997,0.9292422665889031,1.8133471148593896,-6.616747856140137,-2.962702214717865,-0.6158306002616882,3.0240460157394393,8.93491268157959,8.93491268157959,0.0,0.0,0.0,0.0,13.199999809265137,38.599998474121094,12.329248428344727,37.400779724121094,6498,True,19,-0.7462565190445675,1.8415499753945777,0.9299593115726859,0.3702420016008388,0.010235281971922028,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22779977481024
2020,A749,JUTI,MS,CO,-22.85722222,-54.60555555,375.18,-22.75,-54.5,18593,16.10022613729088,0.6215846994535519,5460,227.5,23.52536630185096,22.91943580623948,-0.6059304940963564,1.3112462520646113,1.6202685386810642,0.971063720517258,1.5028413170783108,-6.604345321655273,-2.797453320026398,-0.7400462925434113,1.9504349768161782,8.12485408782959,8.12485408782959,0.0,0.0,0.0,0.0,6.099999904632568,37.400001525878906,6.874322414398193,36.246482849121094,5460,True,16,-0.4913008181083901,1.842439408479917,0.9517146408913237,-0.11462967598796625,-0.2221708697988527,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22619903277742
2019,A238,BURITICUPU,MA,NE,-4.320597,-46.449503,174.91,-4.25,-46.5,6711,9.642380262450132,0.7550228310502283,6614,275.5833333333333,27.631765939189403,26.92827508209478,-0.7034908686545094,1.1879440088385602,1.5226930952487758,0.94459055584912,1.3505445695160858,-7.352050304412842,-2.9313813924789427,-0.6910579800605774,1.5859741747379292,6.637158393859863,7.352050304412842,0.0,0.0,0.0,0.0,17.299999237060547,37.099998474121094,20.929941177368164,35.618309020996094,6614,True,17,-0.7581694218705626,1.5787420782980155,0.9390368048836617,0.054678553216053194,-0.056048983049239665,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22618396390328
2017,A448,CURACA,BA,NE,-9.00138888,-39.91277777,370.0,-9.0,-40.0,9796,9.580502401736958,0.7921232876712329,6939,289.125,28.76806455387611,27.968930748976483,-0.7991338136817807,1.135559507644079,1.4256032641390468,0.9598261755931209,1.1806484227184162,-5.095067977905273,-2.6833395481109616,-0.8224624395370483,1.077968895435332,7.984179973602295,7.984179973602295,0.0,0.0,0.0,0.0,17.299999237060547,38.79999923706055,17.65763282775879,37.392967224121094,6939,True,11,-0.6899877740320397,1.3629325860910315,0.9555880116725163,-0.10914603964974101,0.0626706780480153,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22473707782082
2018,A316,CAICO,RN,NE,-6.45972222,-37.08888888,169.85,-6.5,-37.0,8198,10.793888020666571,0.7723744292237443,6766,281.9166666666667,29.457833275159295,28.61821322366397,-0.8396200606772335,1.133869793556081,1.3846201008456878,0.9667866475087306,1.101085903092396,-6.272167682647705,-2.413979649543762,-0.9651607275009155,0.9611557126045227,8.079442024230957,8.079442024230957,0.0,0.0,0.0,0.0,21.299999237060547,40.0,20.33536720275879,38.082420349121094,6766,True,19,-1.0010076694425232,1.6274747124786975,0.9575921052024721,0.16138760876528968,-0.2428546116330097,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22424016152293
2025,B808,CACHOEIRINHA,RS,S,-29.95138888,-51.12416666,72.0,-30.0,-51.0,23276,13.124656682046282,0.3552839116719243,2703,112.625,21.521827595083085,20.800165153458256,-0.7216624453810864,1.2321011123711814,1.5024909260490784,0.9654229988077504,1.3180762638591463,-4.697948932647705,-2.586605978012085,-0.8645504117012024,1.7078666329383851,7.582178115844727,7.582178115844727,0.0,0.0,0.0,0.0,6.900000095367432,36.599998474121094,7.607568264007568,35.518455505371094,2703,True,1,-0.7216624453810864,1.5024909260490784,0.9654229988077504,0.0,0.0,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22415337143016
2019,A914,JUARA,MT,CO,-11.280158,-57.526641,263.43,-11.25,-57.5,11175,4.436897336385561,0.6171232876712329,5406,225.25,27.02652607535681,27.234696766821227,0.20817068404166475,1.6508781401648642,2.0156610170441933,0.9398447031794067,2.005068072475017,-6.974854946136475,-2.8823986053466797,0.23122596740722656,3.4463504552841187,9.285449981689453,9.285449981689453,0.0,0.0,0.0,0.0,12.100000381469727,40.0,16.22954750061035,37.937156677246094,5406,True,17,-0.16939284339940647,1.977370615927883,0.9062334741199748,0.37756352744107124,0.038290401116310324,False,True,False,False,False,False,False,1,True,cobertura_baixa,102.22383170108586
