rede,variavel,codigo,estacao,uf,regiao,n_anos,ano_inicio,ano_fim,sen_slope_c_decada,rho1_rank_detrendido,n_lags_acf_significativos,fator_correcao_hamed_rao,mk_p_classico,mk_p_modificado,mk_p_modificado_fdr,significativo_classico_p05,significativo_modificado_p05,significativo_modificado_fdr05,mudou_significancia_com_correcao,delta_p_modificado_menos_classico
sensibilidade_consecutiva_10a,delta_tmax,A801,PORTO ALEGRE,RS,Sul,19,2007,2025,0.5604347815880408,0.11228070175438597,0,1.0,0.23423926303398224,0.23423926303398224,0.5603108975629036,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A811,CANGUCU,RS,Sul,11,2009,2019,0.056489308675130204,-0.0182648401826484,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A839,PASSO FUNDO,RS,Sul,10,2007,2016,1.7137455940246582,0.06097560975609756,0,1.0,0.049097981609265595,0.049097981609265595,0.22094091724169518,True,True,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,A884,CAMPO BOM,RS,Sul,11,2014,2024,1.2381998697916667,-0.2818181818181818,0,1.0,0.012731364269923606,0.012731364269923606,0.10181445251419036,True,True,False,False,0.0
sensibilidade_consecutiva_10a,delta_tmax,F501,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,0.3941631317138672,-0.2009132420091324,1,1.711332503113325,0.8762696636277618,0.9052593200315926,1.0,False,False,False,False,0.028989656403830777
sensibilidade_consecutiva_10a,tmax_era5,A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,0.6863043043348525,-0.31305903398926654,0,1.0,0.5526151250628484,0.5526151250628484,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A002,GOIANIA,GO,Centro-Oeste,15,2010,2024,0.6658087836371528,-0.3470483005366726,0,1.0,0.4884223166225936,0.4884223166225936,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A036,CRISTALINA,GO,Centro-Oeste,18,2008,2025,0.5837673611111112,-0.2422520661157025,0,1.0,0.28888280402716404,0.28888280402716404,0.6832647335236928,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,1.1142985026041665,-0.30637254901960786,0,1.0,0.14937517875498973,0.14937517875498973,0.4481255362649692,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,-0.66650390625,-0.3333333333333333,0,1.0,0.640428787412791,0.640428787412791,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A101,MANAUS,AM,Norte,15,2011,2025,1.2786865234375,0.05366726296958855,0,1.0,0.02944810421427424,0.02944810421427424,0.26503293792846816,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A408,ITABERABA,BA,Nordeste,12,2012,2023,1.2337748209635417,-0.17657342657342656,0,1.0,0.7317017232242102,0.7317017232242102,0.8589541968284208,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A409,ARACAJU,SE,Nordeste,10,2011,2020,1.2848772321428572,-0.5365853658536586,0,1.0,0.5915050369949166,0.5915050369949166,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A430,PIATA,BA,Nordeste,12,2009,2020,1.1402587890625,-0.1346153846153846,0,1.0,0.303673214899419,0.303673214899419,0.6832647335236928,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A502,BARBACENA,MG,Sudeste,10,2013,2022,-0.10335286458333334,-0.039634146341463415,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A506,MONTES CLAROS,MG,Sudeste,10,2016,2025,0.21809895833333331,-0.3384146341463415,0,1.0,0.8580276569875211,0.8580276569875211,0.9652811141109613,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A507,UBERLANDIA,MG,Sudeste,17,2009,2025,1.73095703125,-0.07352941176470588,0,1.0,0.04354558621432192,0.04354558621432192,0.2776801051274074,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A509,MONTE VERDE,MG,Sudeste,10,2016,2025,2.2265625,-0.17682926829268292,1,1.6573170731707316,0.37109336952269767,0.4871983147422736,0.7859807845520617,False,False,False,False,0.11610494521957593
sensibilidade_consecutiva_10a,tmax_era5,A510,VICOSA,MG,Sudeste,11,2011,2021,1.4545860290527344,-0.1278538812785388,0,1.0,0.4362749288405292,0.4362749288405292,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A513,OURO BRANCO,MG,Sudeste,12,2010,2021,2.348225911458333,-0.05419580419580419,1,1.3310870947234583,0.06410357671243583,0.10854604209735008,0.3663428920785565,False,False,False,False,0.044442465384914254
sensibilidade_consecutiva_10a,tmax_era5,A521,PAMPULHA,MG,Sudeste,17,2009,2025,2.1055491765340166,0.061274509803921566,0,1.0,0.052861148438496874,0.052861148438496874,0.2776801051274074,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A531,MARIA DA FE,MG,Sudeste,18,2008,2025,1.57745361328125,-0.13481404958677687,0,1.0,0.018853377367019197,0.018853377367019197,0.25452059445475916,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A533,GUANHAES,MG,Sudeste,11,2008,2018,1.4212472098214284,0.0319634703196347,0,1.0,0.21291190281150452,0.21291190281150452,0.5748621375910622,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A539,MOCAMBINHO,MG,Sudeste,10,2016,2025,-0.21763392857142855,-0.19207317073170732,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A555,IBIRITE (ROLA MOCA),MG,Sudeste,14,2009,2022,2.340695858001709,0.19273127753303965,0,1.0,0.1005181732074647,0.1005181732074647,0.3663428920785565,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A701,SAO PAULO - MIRANTE,SP,Sudeste,11,2015,2025,1.00860595703125,-0.2100456621004566,0,1.0,0.640428787412791,0.640428787412791,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A703,PONTA PORA,MS,Centro-Oeste,10,2012,2021,1.3264973958333335,-0.125,0,1.0,0.5915050369949166,0.5915050369949166,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A801,PORTO ALEGRE,RS,Sul,19,2007,2025,1.613006591796875,0.08340649692712906,0,1.0,0.0026231698430960737,0.0026231698430960737,0.07082558576359399,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A811,CANGUCU,RS,Sul,11,2009,2019,3.11767578125,0.1917808219178082,0,1.0,0.35020138917929566,0.35020138917929566,0.7273413467569987,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A839,PASSO FUNDO,RS,Sul,10,2007,2016,0.8829752604166667,0.10670731707317073,0,1.0,0.5915050369949166,0.5915050369949166,0.7859807845520617,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,A884,CAMPO BOM,RS,Sul,11,2014,2024,2.1044921875,-0.2968036529680365,0,1.0,0.06170669002831275,0.06170669002831275,0.2776801051274074,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_era5,F501,BELO HORIZONTE - CERCADINHO,MG,Sudeste,11,2015,2025,0.49397786458333337,0.0,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A001,BRASILIA,DF,Centro-Oeste,15,2011,2025,1.2857164655412947,-0.2844364937388193,0,1.0,0.0821317786187592,0.0821317786187592,0.28990286415018773,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A002,GOIANIA,GO,Centro-Oeste,15,2010,2024,2.0833333333333335,-0.16845878136200718,0,1.0,0.014857575729617212,0.014857575729617212,0.1337181815665549,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A036,CRISTALINA,GO,Centro-Oeste,18,2008,2025,1.3333333333333333,-0.246900826446281,0,1.0,0.010981554725508325,0.010981554725508325,0.1337181815665549,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009,2025,1.6547616322835283,-0.34068627450980393,0,1.0,0.008179529633231875,0.008179529633231875,0.1337181815665549,True,True,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015,2025,0.8333333333333333,-0.3150684931506849,0,1.0,0.43347418315950703,0.43347418315950703,0.8300244789719552,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A101,MANAUS,AM,Norte,15,2011,2025,0.0,-0.10215053763440861,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A408,ITABERABA,BA,Nordeste,12,2012,2023,1.549999713897705,0.06118881118881119,0,1.0,0.40947828967066413,0.40947828967066413,0.8300244789719552,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A409,ARACAJU,SE,Nordeste,10,2011,2020,-1.4999961853027344,0.006097560975609756,0,1.0,0.7205147871362554,0.7205147871362554,0.9458822863206919,False,False,False,False,0.0
sensibilidade_consecutiva_10a,tmax_inmet,A430,PIATA,BA,Nordeste,12,2009,2020,0.5793648674374535,-0.6416083916083916,1,1.9624125874125873,0.7304805152398015,0.805751577236145,0.9458822863206919,False,False,False,False,0.07527106199634348
sensibilidade_consecutiva_10a,tmax_inmet,A502,BARBACENA,MG,Sudeste,10,2013,2022,0.20000076293945312,0.018292682926829267,0,1.0,1.0,1.0,1.0,False,False,False,False,0.0
